text,label_id,label,doc_id,annotation_id,exp_split
"when julius caesar gets wind of the project succeeding , he has the building site attacked by his troops in order to win the bet and not lose his face . 
",objective,0,5647,subj_5647,train
" "" the quiet american "" begins in saigon in 1952 . that's its first sign of trouble . 
",subjective,1,1516,subj_1516,train
"cannon's confidence and laid-back good spirits are , with the drumming routines , among the film's saving graces . 
",subjective,1,980,subj_980,train
"not knowing that the others have also been invited , they show up and discover an amusement park that affects young visitors in very strange ways . 
",objective,0,9161,subj_9161,train
"the good girl is a film in which the talent is undeniable but the results are underwhelming . 
",subjective,1,2596,subj_2596,train
"betting xxx can succeed where other conventional spies have failed , gibbons sends xxx to enter this world of crime undetected , using his natural athletic prowess and a whole lot of attitude . 
",objective,0,9949,subj_9949,train
"the mafia's paul vitti ( de niro ) is back in prison and will need some serious counseling when he gets out . 
",objective,0,5344,subj_5344,train
"it is compelling to be exposed to a film as bluntly honest and yet as paradoxically ordinary as last orders . 
",subjective,1,3258,subj_3258,train
"two badly interlocked stories drowned by all too clever complexity . 
",subjective,1,710,subj_710,train
"alternately hilarious and sad , aggravating and soulful , scathing and joyous . it's a masterpeice . 
",subjective,1,2253,subj_2253,train
"soon discovering that they're in a strange fourth dimension where our laws of physics don't apply , they have to unravel the secrets of the "" hypercube "" in order to survive . . . 
",objective,0,6334,subj_6334,train
"an overly familiar scenario is made fresh by an intelligent screenplay and gripping performances in this low-budget , video-shot , debut indie effort . 
",subjective,1,3934,subj_3934,train
"aside from the fact that the film idiotically uses the website feardotcom . com or the improperly hammy performance from poor stephen rea , the film gets added disdain for the fact that it is nearly impossible to look at or understand . 
",subjective,1,1966,subj_1966,train
"tinke , a 9-year-old orphan from the wilderness , struggles to find her unknown , rich grandparents . 
",objective,0,6031,subj_6031,train
"williams has now proven that he can play creepy with the best of them . 
",subjective,1,3106,subj_3106,train
"the movie is obviously a labour of love so howard appears to have had free rein to be as pretentious as he wanted . 
",subjective,1,2804,subj_2804,train
"is it possible for a documentary to be utterly entranced by its subject and still show virtually no understanding of it ? 
",subjective,1,4232,subj_4232,train
"thankfully , the film , which skirts that rapidly deteriorating line between fantasy and reality . . . takes a tongue-in-cheek attitude even as it pushes the croc hunter agenda . 
",subjective,1,2283,subj_2283,train
"sacrifices the value of its wealth of archival foot-age with its less-than-objective stance . 
",subjective,1,1345,subj_1345,train
"the film is grossly contradictory in conveying its social message , if indeed there is one . 
",subjective,1,1430,subj_1430,train
"friday after next takes place back in the hood during the christmas season , craig and day-day are now living in a rundown apartment . 
",objective,0,6045,subj_6045,train
"its cast full of caffeinated comedy performances more than make up for its logical loopholes , which fly by so fast there's no time to think about them anyway . 
",subjective,1,4403,subj_4403,train
"in this action comedy feature film , 'superbob' utilizes his highflying karate mastery and investigative techniques to tackle the ruthless big yard . 
",objective,0,9246,subj_9246,train
"the importance of being earnest , so thick with wit it plays like a reading from bartlett's familiar quotations
",subjective,1,737,subj_737,train
"an entertaining , if somewhat standardized , action movie . 
",subjective,1,2564,subj_2564,train
"when the baby comes back in 1991 as a 17 year old delinquent , sepideh , the warden respects mitra enough to protect the girl . 
",objective,0,6699,subj_6699,train
"an enterprising jokester is a member of a local bowling club purely for the purpose of renting out his car park space to nearby workers . 
",objective,0,9674,subj_9674,train
"jordan is a mom &#38 ; an activist who is on a life long search for true faith as she tries to protect her only child from what she believes is injustice . 
",objective,0,5425,subj_5425,train
"three mischevious employees ( paulo costanzo , woody harrelson , alicia silverstone ) of a bank in a small deserted town all make plans to rob at the same time , however none of them knows about the others . 
",objective,0,5558,subj_5558,train
"sexgunsmoney@20 is an intense , funny and visceral story about excesses , instant gratification , greed and power , filled with intrigue and machiavellian plotting . 
",objective,0,6157,subj_6157,train
"only those most addicted to film violence in all its forms will find anything here to appreciate . 
",subjective,1,3683,subj_3683,train
"anna obtains a retraining order against her stalker but she still worries about him , huddled outside her home on a cold , windy night . 
",objective,0,6510,subj_6510,train
"jedi knights obi-wan kenobi and anakin skywalker discover there is more than meets the eye behind an assassination attempt on naboo senator padm&#233 ; amidala's life . 
",objective,0,8954,subj_8954,train
"'butterfingered' is the word for the big-fisted direction of jez butterworth , who manages to blast even the smallest sensitivities from the romance with his clamorous approach . 
",subjective,1,4423,subj_4423,train
"family togetherness takes a back seat to inter-family rivalry and workplace ambition&#133 ; whole subplots have no explanation or even plot relevance . 
",subjective,1,2310,subj_2310,train
"muccino seems to be exploring the idea of why human beings long for what they don't have , and how this gets us in trouble . but even while his characters are acting horribly , he is always sympathetic . 
",subjective,1,3015,subj_3015,train
"reinforces the often forgotten fact of the world's remarkably varying human population and mindset , and its capacity to heal using creative , natural and ancient antidotes . 
",subjective,1,1980,subj_1980,train
"the movie is the strangest experience : a matter-of-fact thing that swallows you whole . 
",subjective,1,727,subj_727,train
"exhibits the shallow sensationalism characteristic of soap opera . . . more salacious telenovela than serious drama . 
",subjective,1,1782,subj_1782,train
"the story takes place in vermont , against the backdrop of the state capitol , where civil union laws are being debated along with gun control and dwi's . 
",objective,0,5584,subj_5584,train
"one is found in the city's landfill site , and the other is horrifically murdered on a public bus . 
",objective,0,8417,subj_8417,train
"born in eastern europe , tobias grew up in poverty , the son of a thief , beggar and prostitute . 
",objective,0,9886,subj_9886,train
"451 tries to help kyle adjust to this unfamiliar and violent world but kyle is a man destined to fight his own battles . 
",objective,0,9811,subj_9811,train
"a love triangle forms , with rachael , the least interested and keen to leave , but clues to her mothers whereabouts appear , as do her own problems which both rafe and matt wish to help with . 
",objective,0,9527,subj_9527,train
"worthless , from its pseudo-rock-video opening to the idiocy of its last frames . 
",subjective,1,4103,subj_4103,train
"a very familiar tale , one that's been told by countless filmmakers about italian- , chinese- , irish- , latin- , indian- , russian- and other hyphenate american young men struggling to balance conflicting cultural messages . 
",subjective,1,3322,subj_3322,train
"beyond borders is an epic tale of the turbulent romance between two star-crossed lovers set against the backdrop of the world's most dangerous hot spots . 
",objective,0,9594,subj_9594,train
"a spiffy animated feature about an unruly adolescent boy who is yearning for adventure and a chance to prove his worth . 
",subjective,1,2527,subj_2527,train
"two brothers , leon and bobby are members of the street gang in brooklyn known as the deuces . 
",objective,0,7285,subj_7285,train
"a vampire so consumed with an insatiable bloodlust that they prey on vampires as well as humans , transforming victims who are unlucky enough to survive into reapers themselves . 
",objective,0,7052,subj_7052,train
"facing her past , culturally and emotionally , eve finds herself caught up in the independent movement of armenia , and the crisis of commitment with the man whom she falls in love . 
",objective,0,8879,subj_8879,train
"splendidly illustrates the ability of the human spirit to overcome adversity . 
",subjective,1,3671,subj_3671,train
"throwing caution to the wind with an invitation to the hedonist in us all , nair has constructed this motion picture in such a way that even the most cynical curmudgeon with find himself or herself smiling at one time or another . 
",subjective,1,2272,subj_2272,train
"very well written and directed with brutal honesty and respect for its audience . 
",subjective,1,2346,subj_2346,train
"principle photography began in july 1999 when the band , bering strait , entered the united states and began recording their first album in nashville . 
",objective,0,5295,subj_5295,train
"enigma looks great , has solid acting and a neat premise . yet why it fails is a riddle wrapped in a mystery inside an enigma . 
",subjective,1,2654,subj_2654,train
"this dramatically shaky contest of wills only reiterates the old hollywood saw : evil is interesting and good is boring . 
",subjective,1,440,subj_440,train
"a young couple is concerned about the future of their relationship as they anticipate their time apart . 
",objective,0,6135,subj_6135,train
"we are taken on this journey through the voice and body of mnemosyne , mother of memory . 
",objective,0,8322,subj_8322,train
"watching les destinées , whose pace may not be for everyone , is to be virtually part of the creative process . 
",subjective,1,3832,subj_3832,train
"first day on job publicist , a whisky drinking headbanger , a pimp from the ghetto , and a psychiatrist on crack end up in a barstow county desert with a corps and an "" a "" list celebrity who is hallucinating apes after drinking a soda contaminated with bug killer . 
",objective,0,5343,subj_5343,train
"the film is an enjoyable family film -- pretty much aimed at any youngster who loves horses . 
",subjective,1,4438,subj_4438,train
"colt seeks the repair of a femininity damaged by an earlier incest . 
",objective,0,7853,subj_7853,train
"inspired and motivated , the kids save the day , showing bravery and nobility . 
",objective,0,5099,subj_5099,train
" ( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind . 
",subjective,1,3350,subj_3350,train
"scott calvin ( tim allen ) has been santa claus for the past eight years , and his loyal elves consider him the best santa ever . 
",objective,0,8359,subj_8359,train
"when max's performance is no competition for producers' nephews and bigger "" names , "" his only option is to cripple the competition - literally . 
",objective,0,9407,subj_9407,train
"a small independent film suffering from a severe case of hollywood-itis . 
",subjective,1,4229,subj_4229,train
"a laboratory accident exposes bruce to both the radiation and the nanomeds , these combine with his unique genetics to unleash the hulk . 
",objective,0,6380,subj_6380,train
"mr . deeds is not really a film as much as it is a loose collection of not-so-funny gags , scattered moments of lazy humor . 
",subjective,1,3130,subj_3130,train
"tess and her daughter anna are always fighting and they think each other don't see how hard their life is . 
",objective,0,8255,subj_8255,train
"at the end of the 80s they went their separate ways with the exception of tim and hotte , who have remained true to their ideals and continue to fight the issues they did as a group . 
",objective,0,5866,subj_5866,train
"it's the unsettling images of a war-ravaged land that prove more potent and riveting than the unlikely story of sarah and harrison . 
",subjective,1,3447,subj_3447,train
"well made but uninvolving , bloodwork isn't a terrible movie , just a stultifyingly obvious one -- an unrewarding collar for a murder mystery . 
",subjective,1,1307,subj_1307,train
"keith tells his wife karen , ( dana delaney ) about the jewellery and that is the last straw . 
",objective,0,9582,subj_9582,train
"so this race to reach the diamonds becomes deadlier and all three powers - vikrant , guru and anna clash . 
",objective,0,5734,subj_5734,train
"it's basically an overlong episode of tales from the crypt . 
",subjective,1,2775,subj_2775,train
"with no option , joe and katsuragi must use their martial arts skills to fight in the muscle dome . 
",objective,0,5072,subj_5072,train
"diesel stars as xander "" xxx "" cage , the notorious underground thrill seeker who until now has been deemed untouchable by the law . 
",objective,0,6740,subj_6740,train
"sitting in the third row of the imax cinema at sydney's darling harbour , but i sometimes felt as though i was in the tiny two seater plane that carried the giant camera around australia , sweeping and gliding , banking and hovering over some of the most not
",subjective,1,103,subj_103,train
"two friends purchase a winning lottery ticket , only to have it stolen by a woman while she is robbing the cafe in which they are having lunch . 
",objective,0,5138,subj_5138,train
"a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man . 
",subjective,1,4648,subj_4648,train
"in a big corner office in hell , satan is throwing up his hands in surrender , is firing his r&d people , and has decided he will just screen the master of disguise 24/7 . 
",subjective,1,2555,subj_2555,train
"rudy yellowshirt is an investigator with the police department and witnesses firsthand the painful legacy of indian existence . 
",objective,0,5077,subj_5077,train
"if you love motown music , you'll love this documentary . 
",subjective,1,195,subj_195,train
"horns and halos benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth . 
",subjective,1,3380,subj_3380,train
"a rather odd thing has just just occurred in the life of nerdy high school student peter parker ; after being bitten by a radioactive spider , his body chemistry is mutagenically altered in that he can scale walls and ceilings , and he develops a "" spider-sense "" that warns him of approaching danger . 
",objective,0,9754,subj_9754,train
"has enough gun battles and throwaway humor to cover up the yawning chasm where the plot should be . 
",subjective,1,2408,subj_2408,train
"anita is 14 , blonde and beautiful - exactly what meena thinks she wants to be . 
",objective,0,5943,subj_5943,train
"but early on there are signs of trouble , and lena is prey to suspicions no one else need consider : a new face may be a new kid in town-or a face from the grave . 
",objective,0,7629,subj_7629,train
"can't get enough of libidinous young city dwellers ? try this obscenely bad dark comedy , so crass that it makes edward burns' sidewalks of new york look like oscar wilde . 
",subjective,1,4727,subj_4727,train
"the tragic real life story of a serial killer who stalked his victims in the early 1970's in small town america . 
",objective,0,7024,subj_7024,train
"he enters an unknown world of rituals and cutural perceptions , and fixes everything in his own unique way . 
",objective,0,8169,subj_8169,train
"chance is a black comedy about how hard it is to find "" the one "" . 
",objective,0,6556,subj_6556,train
"as before , the resistance was able to send another t-800 as a protector for john , and its still a question of which one will reach him first . . . 
",objective,0,9959,subj_9959,train
"but jim's team , knowing their coach is a great ball player , makes a deal with him : if they win the district championship , they want jim to try out for a major-league organization . 
",objective,0,9951,subj_9951,train
"together , miller , kuras and the actresses make personal velocity into an intricate , intimate and intelligent journey . 
",subjective,1,4791,subj_4791,train
"in a last ditch effort to stop memnon from taking over the world , the leaders of the remaining free tribes hire the assassin mathayus to kill the sorceress . 
",objective,0,9629,subj_9629,train
"the actors are simply too good , and the story too intriguing , for technical flaws to get in the way . 
",subjective,1,4789,subj_4789,train
"eric byler's nuanced pic avoids easy sentiments and explanations . . . 
",subjective,1,2950,subj_2950,train
"kanna goes back to city to complete his final year but not before warning his loved ones that naxalisam is not good for them . 
",objective,0,5507,subj_5507,train
"at night he is daredevil , a masked vigilante stalking the dark streets of the city , a relentless avenger of justice . 
",objective,0,7290,subj_7290,train
"in the spirit of voltaire and molière , on guard volleys great wit and deadly gestures in a milieu of lush apparel , landscapes , captivating music and 18th-century lacy sleeves . 
",subjective,1,84,subj_84,train
"seven-year-old sang-woo is left with his grandmother in a remote village while his mother looks for work . 
",objective,0,9717,subj_9717,train
"inspector mo eventually discovers through a tabloid magazine that a self-proclaimed psychic named shana had phoned a radio program on the day of the kidnapping to warn of the incident . 
",objective,0,5554,subj_5554,train
"the story goes that she can't go in the light , and if you wake up and see her , she'll kill you . 
",objective,0,9397,subj_9397,train
"skin deep is a psychological thriller about love , sex , race , and betrayal involving an interracial couple , a black couple , and a mistress . 
",objective,0,5542,subj_5542,train
"graffiti removal : the act of removing tags and graffiti by painting over them . 
",objective,0,9074,subj_9074,train
"after a wild session of lovemaking , dawn goes for a walk . 
",objective,0,9360,subj_9360,train
"this in-depth study of important developments of the computer industry should make it required viewing in university computer science departments for years to come . 
",subjective,1,3920,subj_3920,train
"but our wet hero isn't dead , and soon finds himself in zurich . 
",objective,0,6190,subj_6190,train
"through it all , carlos comes to understand that if he is to make it as a comic artist , he must engage with the community he comes from , take that experience back out into the world , and put it in his work . 
",objective,0,6391,subj_6391,train
"in order to make something of himself , dean assumes another identity and manages to enter high society . 
",objective,0,9543,subj_9543,train
"there's a delightfully quirky movie to be made from curling , but brooms isn't it . 
",subjective,1,4580,subj_4580,train
"in the months that followed , he gave dozens of talks on four continents , conducted scores of interviews , and wrote a book 9-11 that was published in 22 countries and became a surprise bestseller in many of them , including japan . 
",objective,0,7763,subj_7763,train
"director dan verete uses his camera as the metaphoric needle , and his cast in each segment as his thread , to form a sweeping tapestry of mis-explanation and contention . 
",subjective,1,46,subj_46,train
"a punch line without a premise , a joke built entirely from musty memories of half-dimensional characters . 
",subjective,1,2782,subj_2782,train
"mckay's camera follows him from his detailed make-up at home , into a waiting yellow cab and down to a chelsea nightclub dressing room for finishing dressing and wig before he goes on to win over a standing room only audience . 
",objective,0,9298,subj_9298,train
"fbi agent cheryl hammer , arrives in a small california town to catch an elusive killer . 
",objective,0,5994,subj_5994,train
"he awakes to what appears to be the next morning only to find that he is one year into the future and is an escaped convict for the murder of his fianc&#233 ; e . 
",objective,0,9639,subj_9639,train
"the widow's teenage daughter wants to be a professional gambler and she convinces her mother to date a british man whose new in town . 
",objective,0,8313,subj_8313,train
"when the president of russia suddenly dies , a man whose politics are virtually unknown succeeds him . 
",objective,0,8340,subj_8340,train
"what the film lacks in general focus it makes up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action . 
",subjective,1,2629,subj_2629,train
"two angels realize that the babies have been switched , and decide to try and find the antichrist and prevent the end of the world . 
",objective,0,6913,subj_6913,train
"the bay of love and sorrows is a haunting modern tragedy set on the rural shores of new brunswick's bay of miramichi . 
",objective,0,5698,subj_5698,train
"can't kick about the assembled talent and the russos show genuine promise as comic filmmakers . still , this thing feels flimsy and ephemeral . 
",subjective,1,1225,subj_1225,train
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness . 
",subjective,1,3124,subj_3124,train
"the film delivers what it promises : a look at the "" wild ride "" that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans . 
",subjective,1,3182,subj_3182,train
"guilt leads him to try to cover it up in the week before the wedding , high jinks ensue . 
",objective,0,9574,subj_9574,train
"dr . evil and mini-me have somehow escaped from a maximum security prison and the duo team up with goldmember . 
",objective,0,9565,subj_9565,train
"but how shall they bring the news of failure to the grand councilwoman without being punished ? 
",objective,0,9256,subj_9256,train
"more of the same from taiwanese auteur tsai ming-liang , which is good news to anyone who's fallen under the sweet , melancholy spell of this unique director's previous films . 
",subjective,1,2400,subj_2400,train
"by abstracting and showing extreme details and connecting routines with themes and emotions , liesbeth worm gives a whole new perspective on day to day life . 
",objective,0,6500,subj_6500,train
"gradually , will and marcus become friends , and as will teaches marcus how to be a cool kid , marcus helps will to finally grow up . 
",objective,0,9757,subj_9757,train
"the course of their experiences ultimately involves with sammy boi , an aggressive rapper caught in a bad contract while on of his songs is a major radio hit ; joan vicks , a devious a&#38 ; r executive for viewpointe records , randy tigge , a drug addicted , cross-dressing rock star ; and michael dileo , the chairman of viewpointe record , who some simply call satan . 
",objective,0,8312,subj_8312,train
"the movie is saved from unbearable lightness by the simplicity of the storytelling and the authenticity of the performances . 
",subjective,1,4184,subj_4184,train
"[diaz] can blunder into the crudest situations with such sweet innocence as to inspire giggles rather than groans . 
",subjective,1,1879,subj_1879,train
"a dark and quirky comedy set in an eccentric north london jewish old age home , paradise grove revolves around a dysfunctional family comprising 79-year-old izzie goldberg , determined to die with dignity , his daughter dee perry , a mixture of traditional jewish mother and child of the sixties , and her teenage son keith , who's half-black and half-jewish , and understandably undergoing an identity crisis . 
",objective,0,8365,subj_8365,train
"goes on and on to the point of nausea . 
",subjective,1,2336,subj_2336,train
"she manages to test patricia in one of the biggest hotel-casinos , the caesars palace . 
",objective,0,8722,subj_8722,train
"veteran actor serrault and rising newcomer seigner . . . pitch their performances perfectly , skilfully underplaying to match carion's understated direction . 
",subjective,1,1779,subj_1779,train
"i admired it , particularly that unexpected downer of an ending . 
",subjective,1,1033,subj_1033,train
"the only fun part of the movie is playing the obvious game . you try to guess the order in which the kids in the house will be gored . 
",subjective,1,4550,subj_4550,train
"emory , a former governor of his tribe , is reunited with his son larry , via the help of a friend , sky montgomery , who invites larry to travel from the old pueblo to the new "" big city "" to join his father at a photo-art exhibition hosted by sky . 
",objective,0,8426,subj_8426,train
"a strong first quarter , slightly less so second quarter , and average second half . 
",subjective,1,3121,subj_3121,train
"an entertaining romp that stays true to the material's television roots , this film is a good starting point for viewers unfamiliar with the series . 
",subjective,1,602,subj_602,train
"sally's daughter , vicky , is aware of beck's chosen profession and threatens to tell her mom ( who beck has fallen in love with ) about it unless he tutors her in the art of card counting . 
",objective,0,9922,subj_9922,train
"he no longer recognizes his wife isabelle nor his young son antoine nor his best friend fred . 
",objective,0,7265,subj_7265,train
" "" analyze that "" is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original . 
",subjective,1,2964,subj_2964,train
"elegantly produced and expressively performed , the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy . 
",subjective,1,1413,subj_1413,train
"10 minutes into the film you'll be white-knuckled and unable to look away . 
",subjective,1,4173,subj_4173,train
"prancing his way through the tailor-made part of a male hooker approaching the end of his vitality , jagger obviously relishes every self-mocking moment . 
",subjective,1,847,subj_847,train
"how would you feel if when you woke , the nightmare had just begun ? 
",objective,0,8857,subj_8857,train
"anyone who suffers through this film deserves , at the very least , a big box of consolation candy . 
",subjective,1,4934,subj_4934,train
"james clayton ( farrell ) might not have the attitude of a typical recruit , but he is one of the smartest graduating seniors in the country - and he's just the person that walter burke ( pacino ) wants in the agency . 
",objective,0,7454,subj_7454,train
"an account of screenwriter charlie kaufman's ( cage ) attempt to adapt susan orlean's ( streep ) non-fiction book the orchid thief , which is the story of john laroche ( cooper ) , a plant dealer who clones rare orchids then sells them to collectors . 
",objective,0,8831,subj_8831,train
"call it magic realism or surrealism , but miss wonton floats beyond reality with a certain degree of wit and dignity . 
",subjective,1,1699,subj_1699,train
"shot as a "" behind-the-scenes "" look at how a fictional kung-fu movie is made , the film is basically a movie about the making of a movie . 
",objective,0,5039,subj_5039,train
"but when their simple robbery explodes into a bloody ambush , the ruthless killers realize that one of them is a cop . 
",objective,0,6808,subj_6808,train
"the teen must decide whether to become immortal and stay with a tuck she's fallen in love with . 
",objective,0,8990,subj_8990,train
"this angst-ridden territory was covered earlier and much better in ordinary people . 
",subjective,1,1818,subj_1818,train
"it is , by conventional standards , a fairly terrible movie . . . but it is also weirdly fascinating , a ready-made eurotrash cult object . it is also , at times , curiously moving . 
",subjective,1,3680,subj_3680,train
"sparkles in its deft portrait of tinseltown's seasoned veterans of gossip , wealth , paranoia , and celebrityhood . 
",subjective,1,1681,subj_1681,train
" . . . perhaps the heaviest , most joyless movie ever made about giant dragons taking over the world . 
",subjective,1,1093,subj_1093,train
"miller comes at film with bracing intelligence and a vision both painterly and literary . 
",subjective,1,2475,subj_2475,train
"however he's cauught by the mexican secret police and is forced to infiltrate a gruop political activist in the movement of 68 . 
",objective,0,5100,subj_5100,train
" ( lil' romeo plays a young dancer who has to choose between pursuing a career as a dancer and the quick money of street drug sales ; phifer plays honey's romantic interest . ) 
",objective,0,6567,subj_6567,train
"3 beautiful agents try to find the treasure , but they must fight the evil datuk azmi , an old enemy of madame x . it has been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions . 
",objective,0,5156,subj_5156,train
" . . . "" bowling for columbine "" remains a disquieting and thought-provoking film . . . 
",subjective,1,2313,subj_2313,train
"her lover , a psychiatrist twice her age , becomes twisted in sarah's sordid plot to kill her husband for his large inheritance . 
",objective,0,7988,subj_7988,train
"it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action . 
",subjective,1,2935,subj_2935,train
"depending on what you read witnesses say his penis was from 12 to 14 inches long . 
",objective,0,6013,subj_6013,train
"in the end , the film feels homogenized and a bit contrived , as if we're looking back at a tattered and ugly past with rose-tinted glasses . 
",subjective,1,1128,subj_1128,train
"dozens of moments catch you up and take your breath away . 
",subjective,1,2821,subj_2821,train
"it's been 13 months and 295 preview screenings since i last walked out on a movie , but resident evil really earned my indignant , preemptive departure . 
",subjective,1,2181,subj_2181,train
"scenes in which the band grooves with modern musicians montell jordan and joan osborne singing covers are spectacular . 
",subjective,1,2291,subj_2291,train
"the weakest of the four harry potter books has been transformed into the stronger of the two films by the thinnest of margins . 
",subjective,1,3418,subj_3418,train
"steve quickly discovers that burt cannot even provide temporary lodging , but an administrator at his new high school directs him to a shelter for runaway kids where he soon learns to navigate his way . 
",objective,0,7855,subj_7855,train
"an action comedy prequel to spang olsen's box office hit in china they eat dogs . 
",objective,0,5301,subj_5301,train
"upon sighting a small , previously not there , diner , he pulls in to find help . 
",objective,0,5248,subj_5248,train
"it's often faintly amusing , but the problems of the characters never become important to us , and the story never takes hold . 
",subjective,1,3951,subj_3951,train
"he makes all efforts to bring ghisu back but does not succeed . 
",objective,0,9660,subj_9660,train
"told in one fluid shot , a tale which floats like a dreamlike journey through the majestic spaces of the hermitage in st . petersburg , engaging real and imagined characters from russian and european history . 
",objective,0,6982,subj_6982,train
"two hard-boiled detectives ( blair brown and joe grifasi ) and an oddball pathologist ( dylan baker ) investigate a severed hand found in a laundromat - and the results aren't pretty . . . 
",objective,0,6994,subj_6994,train
"she and her daughter flee to find sylvie's first love in the countryside . 
",objective,0,5201,subj_5201,train
"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . 
",subjective,1,1458,subj_1458,train
"shortly thereafter , kilo is involved in a drug deal with a wired frat boy that goes bad and he is imprisoned . 
",objective,0,6922,subj_6922,train
"the true story of revolutionary war leader ethan allen ( 1738-1789 ) and his group of fighters , the green mountain boys , who fought for the freedom of vermont before the war officially started . 
",objective,0,6543,subj_6543,train
"but billy's not into him ^&#214 ; he's in love with sonny , a musician into sm . 
",objective,0,9081,subj_9081,train
"the mismatch between whitey's good heart and never-ending optimism and davey's constant troublemaking soon have them both wondering if going to jail wouldn't have been easier ! 
",objective,0,9650,subj_9650,train
"one of those movies that make us pause and think of what we have given up to acquire the fast-paced contemporary society . 
",subjective,1,2052,subj_2052,train
"i don't know if frailty will turn bill paxton into an a-list director , but he can rest contentedly with the knowledge that he's made at least one damn fine horror movie . 
",subjective,1,2567,subj_2567,train
"as the script progresses , layers are slowly pulled away revealing secret relationships and subversive undercurrents - the wedding shower quickly becomes a free for all . 
",objective,0,8440,subj_8440,train
"an energizing , intoxicating documentary charting the rise of hip-hop culture in general and the art of scratching ( or turntablism ) in particular . 
",subjective,1,547,subj_547,train
"if your senses haven't been dulled by slasher films and gorefests , if you're a connoisseur of psychological horror , this is your ticket . 
",subjective,1,881,subj_881,train
"jordan is a mom who is on a life long search for true faith as she tries to protect her only child from what she believes is injustice . 
",objective,0,5024,subj_5024,train
"works hard to establish rounded characters , but then has nothing fresh or particularly interesting to say about them . 
",subjective,1,1659,subj_1659,train
"they are five cinderellas in search of prince charming and a new chance in life . 
",objective,0,7547,subj_7547,train
"in this high-school coming of age romantic comedy and with 2 months of summer vacation ahead of them , fresh graduates kiki ( charlene choi ) and kammy ( gillian chung ) swear to look for their first boyfriends and bring them to show their schoolmates at the high school reunion . 
",objective,0,9873,subj_9873,train
"who is murdered &#38 ; who is the murderer . . . 
",objective,0,8385,subj_8385,train
"this is a film brimming with detail and nuance and one that speaks volumes about the ability of the human spirit to find solace in events that could easily crush it forever . 
",subjective,1,620,subj_620,train
"the story itself is uninteresting , and the songs are painfully undistinguished : they might be giants' so to be one of us may be the most tuneless tune ever composed . 
",subjective,1,4775,subj_4775,train
