doc_id,document,query,label,annotation_id,label_id,exp_split
622300,"Meanwhile, the global death toll approached 770 with more than 8,300 people sickened since the severe acute respiratory syndrome virus first appeared in southern China in November.","The global death toll from SARS was at least 767, with more than 8,300 people sickened since the virus first appeared in southern China in November.
",1,622300_622384,paraphrase,train
962311,The battles marked day four of a U.S. sweep to hunt down supporters of Saddam Hussein's fallen regime.,"Twenty-seven Iraqis were killed, pushing the number of opposition deaths to about 100 in a U.S. operation to hunt down supporters of Saddam Hussein's fallen regime.
",0,962311_962987,semantic equivalence,train
2506257,"The women then had follow-up examinations after five, 12 and 24 years.","The women had follow-up examinations in 1974-75, 1980-81 and 1992-93, but were not asked about stress again.
",0,2506257_2506206,semantic equivalence,train
221038,The Embraer jets are scheduled to be delivered by September 2006.,"The Bombardier and Embraer aircraft will be delivered to U.S. Airways by September 2006.
",0,221038_221083,semantic equivalence,train
1097577,"Contrary to what PeopleSoft management would have you believe, Oracle intends to fully support PeopleSoft customers and products for many years to come.""","Ellison said that contrary to the contentions of PeopleSoft management, Oracle intends to ""fully support PeopleSoft customers and products"" for many years to come.
",1,1097577_1097664,paraphrase,train
218017,"Application Intelligence will be included as part of the company's SmartDefense application, which is included with Firewall-1.","The new application intelligence features will be available June 3 and are included with the SmartDefense product, which comes with FireWall-1.
",0,218017_218035,semantic equivalence,train
2277501,"American Masters: Arthur Miller, Elia Kazan and the Blacklist: None Without Sin (Wed.","Note the subheading of this terrible parable in the ""American Masters"" series, ""Arthur Miller, Elia Kazan and the Blacklist: None Without Sin.""
",0,2277501_2277502,semantic equivalence,train
423245,"The downtime, to take place in May and June, is expected to cut production by 60 million to 70 million board feet.","The downtime is expected to take 60 million to 70 million board feet out of the companys system.
",1,423245_423228,paraphrase,train
1336931,"On July 3, Troy is expected to be sentenced to life in prison without parole.","Troy faces life in prison without parole at his July 30 sentencing.
",1,1336931_1336883,paraphrase,train
2208366,"The University of Michigan released a new undergraduate admission process Thursday, dropping a point system the U.S. Supreme Court found unconstitutional in June.","The University of Michigan released today a new admissions policy after the U.S. Supreme Court struck down in June the way it previously admitted undergraduates.
",1,2208366_2208492,paraphrase,train
2405153,The processors were announced in San Jose at the Intel Developer Forum.,"The new processor was unveiled at the Intel Developer Forum 2003 in San Jose, Calif.
",1,2405153_2405189,paraphrase,train
3334905,"The Justice Department filed suit Thursday against the state of Mississippi for failing to end what federal officials call ""disturbing"" abuse of juveniles and ""unconscionable"" conditions at two state-run facilities.","The Justice Department filed a civil rights lawsuit Thursday against the state of Mississippi, alleging abuse of juvenile offenders at two state-run facilities.
",0,3334905_3334946,semantic equivalence,train
1641162,It said the damage to the wing provided a pathway for hot gasses to penetrate the ship's thermal armor during Columbia's ill-fated reentry.,"The document says the damage to the wing provided a pathway for hot gases to penetrate Columbia's thermal armour during its fatal re-entry.
",1,1641162_1641062,paraphrase,train
244062,"Also demonstrating box-office strength _ and getting seven Tony nominations _ was a potent revival of Eugene O'Neill's family drama, ""Long Day's Journey Into Night.""","Also demonstrating box-office strength -- and getting seven Tony nominations -- was a potent revival of Eugene ONeills family drama, Long Days Journey Into Night.""
",1,244062_243899,paraphrase,train
2070455,But Secretary of State Colin Powell brushed off this possibility Wednesday.,"Secretary of State Colin Powell last week ruled out a non-aggression treaty.
",1,2070455_2070493,paraphrase,train
1996069,"Thomas and Tauzin say, as do many doctors, that the Bush administration has the power to correct some of those flaws.","Like many doctors, Mr. Thomas and Mr. Tauzin say the Bush administration has the power to correct some of those flaws.
",1,1996069_1996101,paraphrase,train
23807,"Based on experience elsewhere, it could take up to two years before regular elections are held, he added.","U.S. military officials have said it could take up to two years before regular elections are held, based on experiences elsewhere in the world.
",1,23807_23792,paraphrase,train
1211287,"The first biotechnology treatment for asthma, the constriction of the airways that affects millions around the world, received approval from the US Food and Drug Administration yesterday.","The first biotechnology treatment for asthma, the constriction of the airways that affects millions of Americans, received approval from the U.S. Food and Drug Administration on Friday.
",1,1211287_1210972,paraphrase,train
2512758,"FBI agents arrested a former partner of Big Four accounting firm Ernst & Young ERNY.UL on criminal charges of obstructing federal investigations, U.S. officials said on Thursday.","A former partner of accountancy firm Ernst & Young was yesterday arrested by FBI agents in the US on charges of obstructing federal investigations.
",1,2512758_2512692,paraphrase,train
3183829,Kelly will begin meetings with Russian Deputy Foreign Minister Alexander Losyukov in Washington on Monday.,"Russian Deputy Foreign Minister Alexander Losyukov said in Moscow Tuesday a firm date would be fixed by this months end.
",0,3183829_3183863,semantic equivalence,train
3257588,"The latest shooting linked to the spree was a November 11 shooting at Hamilton Central Elementary School in Obetz, about 3km from the freeway.","Another shooting linked to the spree occurred Nov. 11 at Hamilton Central Elementary in Obetz, about two miles from the freeway.
",1,3257588_3257537,paraphrase,train
1321343,"The Dow Jones Industrial Average ended down 128 points, or 1.4%, at 9073, while the Nasdaq fell 34 points, or 2.1%, to 1610.","In early trading, the Dow Jones industrial average was up 3.90, or 0.04 percent, at 9,113.75, having gained 36.90 on Tuesday.
",0,1321343_1321577,semantic equivalence,train
2560856,PDC will also almost certainly fan the flames of speculation about Longhorn's release.,"PDC will also almost certainly reignite speculation about release dates of Microsoft's new products.
",1,2560856_2560808,paraphrase,train
2728434,Sales - a figure watched closely as a barometer of its health - rose 5 percent instead of falling as many industry experts had predicted.,"It also disclosed that sales -- a figure closely watched by analysts as a barometer of its health -- were significantly higher than industry experts expected.
",1,2728434_2728420,paraphrase,train
3277643,"NEC is pitching its wireless gear and management software to a variety of industries, including health care and hospitality.","NEC's pitching its wireless gear and management software to a variety of industries, including healthcare and hospitality, a company spokesman said.
",1,3277643_3277659,paraphrase,train
2621134,"Elena Slough, considered to be the nation's oldest person and the third oldest person in the world, died early Sunday morning.","ELENA Slough, considered to be the oldest person in the US and the third oldest person in the world, has died.
",1,2621134_2621174,paraphrase,train
2529661,"""We are declaring war on sexual harassment and sexual assault.","""We have declared war on sexual assault and sexual harassment,"" Rosa said.
",1,2529661_2529575,paraphrase,train
953744,"The technology-laced Nasdaq Composite Index <.IXIC> added 1.92 points, or 0.12 percent, at 1,647.94.","The technology-laced Nasdaq Composite Index .IXIC dipped 0.08 of a point to 1,646.
",0,953744_953727,semantic equivalence,train
1268733,"The dollar was at 117.85 yen against the Japanese currency, up 0.1 percent.","Against the Swiss franc the dollar was at 1.3289 francs, up 0.5 percent on the day.
",0,1268733_1268445,semantic equivalence,train
304482,"El Watan, an Algerian newspaper, reported that the kidnappers fiercely resisted the army assault this morning, firing Kalashnikov rifles.","El Watan, an Algerian newspaper, reported that the kidnappers put up fierce resistance during the army assault, firing Kalashnikov rifles.
",1,304482_304430,paraphrase,train
472952,"But Mitsubishi Tokyo Financial (JP:8306: news, chart, profile) declined 3,000 yen, or 0.65 percent, to 456,000 yen.","Sumitomo Mitsui Financial (JP:8316: news, chart, profile) was down 2.5 percent at 198,000 yen.
",0,472952_472535,semantic equivalence,train
3119349,"""We're just dealing with bragging rights here, who wins and who loses.""","""Leaving aside attorney fees, we're dealing with bragging rights of who wins and who loses,"" said Gammerman.
",0,3119349_3119343,semantic equivalence,train
224868,Shares of Hartford rose 2.88 to 46.50 in New York Stock Exchange composite trading.,"Shares of Hartford were up 2.28, or 5.2 percent, to 45.90 in midday trading.
",1,224868_225233,paraphrase,train
2678208,This Palm OS smart phone is the last product the company will release before it becomes a part of palmOne.,"This was almost certainly its last full quarter before the company becomes a part of Palm.
",0,2678208_2678191,semantic equivalence,train
1177915,And they think the protein probably is involved in the spread of other forms of cancer.,"They researchers say the research could be relevant to other forms of cancer.
",0,1177915_1178039,semantic equivalence,train
129193,"Tokyo Electric Power Co., Asia's largest power company, won approval to restart the first of 17 nuclear reactors it shut down after it admitted falsifying inspection reports.","Tokyo Electric Power Co., Asia's largest power company, restarted the first of 17 nuclear reactors it shut down after admitting it falsified inspection reports.
",1,129193_129302,paraphrase,train
2843951,"Tuition at four-year private colleges averaged 19,710 this year, up 6 percent from 2002.","For the current academic year, tuition at public colleges averaged 4,694, up almost 600 from the year before.
",1,2843951_2843930,paraphrase,train
1849508,Security lights have also been installed and police have swept the grounds for booby traps.,"Security lights have also been installed on a barn near the front gate.
",0,1849508_1849367,semantic equivalence,train
2624848,"He said that with the U.S.-backed peace plan, or road map, “in a coma,” the attack could easily widen conflict through the region.","Mr Jouejati said that with the US-backed road map ""in a coma"" the attack could easily widen through the region.
",1,2624848_2624568,paraphrase,train
2293340,"A successful attack could be launched within any type of document that supports VBA, including Microsoft Word, Excel or PowerPoint.","But this could happen with any document format that supports VBA, including Word, Excel or PowerPoint.
",1,2293340_2293455,paraphrase,train
2750203,"Officials at Brandeis said this was an ""extremely heartrending"" time for the campus.","""This is an extremely heartrending time for the entire Brandeis University community.
",1,2750203_2750153,paraphrase,train
2622625,"""If that ain't a Democrat, I must be at the wrong meeting,"" he said.","And if that ain't a Democrat, then I must be in the wrong meeting,"" he said to thunderous applause from his supporters.
",0,2622625_2622698,semantic equivalence,train
1946553,Fewer than a dozen FBI agents were dispatched to secure and analyze evidence.,"Fewer than a dozen FBI agents will be sent to Iraq to secure and analyze evidence of the bombing.
",1,1946553_1946598,paraphrase,train
2216702,Those who only had surgery lived an average of 46 months.,"For those who got surgery alone, median survival was 41 months.
",1,2216702_2216672,paraphrase,train
742090,Tonight a spokesman for Russia's foreign ministry said the ministry may issue a statement on Thursday clarifying Russia's position on cooperation with Iran's nuclear-energy efforts.,"Tonight a spokesman for the Russian Foreign Ministry said it might issue a statement on Thursday clarifying Russia's position on aiding Iran's nuclear-energy efforts.
",1,742090_742015,paraphrase,train
1795859,"A day earlier, a committee appointed by reformist President Mohammad Khatami called for an independent judicial inquiry into Kazemi's death.","A day earlier, a committee appointed by President Mohammad Khatami had called for an independent inquiry into the 54-year-old photojournalist's death.
",1,1795859_1795818,paraphrase,train
2592956,"The suite comes complete with a word processor, spreadsheet, presentation software and other components, while continuing its tradition of utilizing an XML-based file format.","The suite includes a word processor, spreadsheet, presentation application (analogous to PowerPoint), and other components -- all built around the XML file format.
",1,2592956_2592914,paraphrase,train
2845442,"Downstream at Mount Vernon, the Skagit River was expected to crest at 36 feet -- 8 feet above flood stage -- tonight, Burke said.","The Skagit was expected to crest during the night at 38 feet at Mount Vernon, 10 feet above flood stage, the National Weather Service said.
",1,2845442_2845257,paraphrase,train
2305958,"The blue-chip Dow Jones industrial average eased 44 points, or 0.47 percent, to 9,543, after scoring five consecutive up sessions.","The Dow Jones industrial average .DJI rose 18.25 points, or 0.19 percent, to 9,586.71.
",0,2305958_2306072,semantic equivalence,train
2156094,"The Nasdaq composite index inched up 1.28, or 0.1 percent, to 1,766.60, following a weekly win of 3.7 percent.","The technology-laced Nasdaq Composite Index .IXIC was off 24.44 points, or 1.39 percent, at 1,739.87.
",0,2156094_2155607,semantic equivalence,train
758342,Physicians who violate the ban would be subject to fines and up to two years in prison.,"Physicians who perform the procedure would face up to two years in prison, under the bill.
",1,758342_758501,paraphrase,train
869467,"Standard & Poor's 500 stock index futures declined 4.40 points to 983.50, while Nasdaq futures fell 6.5 points to 1,206.50.","The Standard & Poor's 500 Index was up 1.75 points, or 0.18 percent, to 977.68.
",0,869467_869240,semantic equivalence,train
1465425,"For example, Anhalt said, children typically treat a 20-ounce soda bottle as one serving, although it actually contains 2 ½ 8-ounce servings.","Anhalt said children typically treat a 20-ounce soda bottle as one serving, while it actually contains 2.5.
",1,1465425_1464865,paraphrase,train
223008,The yield on the 3 percent note maturing in 2008 fell 22 basis points to 2.61 percent.,"The yield fell 2 basis points to 1.41 percent, after reaching 1.4 percent on May 8, the lowest since March 12.
",0,223008_222987,semantic equivalence,train
1168132,"Kline's opinion dealt specifically with abortion providers, but it also would apply to doctors providing other services, such as prenatal care, to a pregnant child under 16.","Kline's opinion dealt specifically with abortion providers, but later his office said it also would apply to doctors providing services such as prenatal care to pregnant girls under 16.
",1,1168132_1167672,paraphrase,train
1634651,"The United Nations' International Atomic Energy Agency asked for information on the allegation after the dossier was published, but Britain did not provide any, U.N. officials said.","The International Atomic Energy Agency asked for information on the uranium assertions after London's dossier was published, but Britain did not provide any, U.N. officials said.
",1,1634651_1634798,paraphrase,train
2189818,"Sixteen days later, as superheated air from the shuttle's reentry rushed into the damaged wing, ""there was no possibility for crew survival,"" the board said.","Sixteen days later, as superheated air from the shuttle’s re-entry rushed into the damaged wing, ‘‘there was no possibility for crew survival,’’ the board said.
",1,2189818_2189911,paraphrase,train
995311,"""The free world and those who love freedom and peace must deal harshly with Hamas and the killers,"" he told reporters as he emerged from a church service.","""It is clear that the free world, those who love freedom and peace, must deal harshly with Hamas and the killers,"" he said.
",1,995311_995560,paraphrase,train
554534,"The pressure will intensify today, with national coverage of the final round planned by ESPN and words that are even more difficult.","The pressure may well rise today, with national coverage of the final round planned by ESPN, the cable sports network.
",0,554534_554959,semantic equivalence,train
14874,"Powell fired back: ""He's accusing the president of a ludicrous act,"" he said.","If so, Powell said, he's calling the president ludicrous, too.
",1,14874_14831,paraphrase,train
317570,"The memo on protecting sales of Windows and other desktop software mentioned Linux, a still small but emerging software competitor that is not owned by any specific company.","The memo specifically mentioned Linux, a still small but emerging software competitor that is not owned by any specific company.
",1,317570_317290,paraphrase,train
84518,"Also Tuesday, the United States also released more Iraqi prisoners of war, and officials announced that all would soon be let go.","Meanwhile in southern Iraq, the United States released more Iraqi prisoners of war, and officials announced that all would be let go soon.
",1,84518_84541,paraphrase,train
706709,"The resulting lists led toa CBS special, AFI's 100 Years . . . 100 Heroes & Villains, hosted by Arnold Schwarzenegger.","A prime-time special on the list, ""AFI's 100 Years . . . 100 Heroes & Villains"" aired Tuesday on CBS.
",0,706709_706766,semantic equivalence,train
2086071,Police warned residents on Friday not to travel alone and to avoid convenience stores and service stations stores at night.,"Police advised residents Friday not to travel alone to convenience stores and to be watchful.
",0,2086071_2086118,semantic equivalence,train
2521336,"""We had nothing to do with @Stake's internal personnel decision,"" Microsoft spokesman Sean Sundwell said.","""Microsoft had absolutely nothing to do with AtStake's internal personnel decision,"" Sundwall said.
",1,2521336_2521360,paraphrase,train
3264615,"Prosecutors said there is no question Waagner was behind the letters, which were sent at the same time of the anthrax attacks.","Prosecutors said there is no question Waagner was behind the letters, which were sent at the same time that real anthrax attacks were killing people in 2001.
",1,3264615_3264641,paraphrase,train
262374,"His plan would cost more than 200 billion annually, which Gephardt would pay for by repealing Bush's tax cuts.","His plan would cost over 200 billion annually and be paid for by repealing Bush's tax cuts.
",1,262374_262921,paraphrase,train
2939925,There had been fears that the 35 year-old wouldn't be able to conceive after suffering two ectopic pregnancies and cancer of the uterus.,"There were fears that Heather would never have children after suffering two ectopic pregnancies and cancer of the uterus.
",1,2939925_2939981,paraphrase,train
2810464,"On Friday, the Food and Drug Administration approved the use of silicone breast implants with conditions.","The drug was approved for use Friday by the Food and Drug Administration.
",0,2810464_2810247,semantic equivalence,train
2031076,"Prosecutors said Paracha, if convicted, could face at least 17 years in prison.","Paracha faces at least 17 years in prison if convicted.
",1,2031076_2031038,paraphrase,train
27639,"More than half of the songs were purchased as albums, Apple said.","Apple noted that half the songs were purchased as part of albums.
",1,27639_27668,paraphrase,train
143800,"The ECB has cut interest rates six times over that period, from 4.75 percent in October 2000 to 2.5 percent.","The ECB has cut rates from 4.75 percent in October 2000 to 2.5 percent in that period.
",0,143800_143664,semantic equivalence,train
1909408,"""This deal makes sense for both companies,"" Halla said in a prepared statement.","Brian Halla, CEO of NatSemi, claimed the deal made sense for both companies.
",1,1909408_1909429,paraphrase,train
3034583,"Smugglers in a van chased down a pickup and SUV carrying other smugglers and illegal immigrants, said Pinal County Sheriff Roger Vanderpool.","People in a van opened fire on a pickup and SUV believed to be transporting illegal immigrants, said Pinal County Sheriff Roger Vanderpool.
",1,3034583_3034604,paraphrase,train
1257820,"Tyco later said the loan had not been forgiven, and Swartz repaid it in full, with interest, according to his lawyer, Charles Stillman.","Tyco has said the loan was not forgiven, but that Swartz fully repaid it with interest, according to his lawyer, Charles Stillman.
",1,1257820_1257777,paraphrase,train
2706551,"While Bolton apparently fell and was immobilized, Selenski used the mattress to scale a 10-foot, razor-wire fence, Fischi said.","After the other inmate fell, Selenski used the mattress to scale a 10-foot, razor-wire fence, Fischi said.
",1,2706551_2706185,paraphrase,train
2975580,"The loonie, meanwhile, continued to slip in early trading Friday.","The loonie, meanwhile, was on the rise again early Thursday.
",0,2975580_2975607,semantic equivalence,train
813945,"Ms. Haque, meanwhile, was on her turquoise cellphone with the smiley faces organizing the prom.","Fatima, meanwhile, was on her turquoise cell phone organizing the prom.
",1,813945_813925,paraphrase,train
2851677,"But he added that the New York-based actor and producer is ""a private person and doesn't care to have his treatment out for public consumption.""","But he added that De Niro is ""a private person and doesn't care to have his treatment out for public consumption.""
",1,2851677_2851855,paraphrase,train
895812,"While a month's supply of aspirin can cost less than 10, the equivalent amount of ticlopidine can run significantly more than 100.","While a month's supply of aspirin can cost under 10, the equivalent amount of ticlopidine can run well over 100.
",1,895812_895754,paraphrase,train
2534473,She estimated it would take three months and would require cancellation of a sub-audit of the Department of Environmental Quality.,"She said it would take an estimated three months to conduct and require the cancellation of a sub-audit of the Department of Environmental Quality.
",1,2534473_2534504,paraphrase,train
1487731,Arison said Mann may have been one of the pioneers of the world music movement and he had a deep love of Brazilian music.,"Arison said Mann was a pioneer of the world music movement -- well before the term was coined -- and he had a deep love of Brazilian music.
",0,1487731_1487197,semantic equivalence,train
