,text,label_id,exp_split,label,annotation_id,feat
13131,"Jim Bowden , general manager of the franchise scheduled to move to Washington next spring , said he is exploring trades for players .",deeplift,dev,2,dev_13131,deeplift
14976,"Three foreign UN workers held in Afghanistan since Oct. 28 were freed on Tuesday , government officials said .   quot;They were released a while back this morning , quot ; said a government official , who",scaled attention,dev,0,dev_14976,scaled attention
15807,"Smithfield Foods Inc. , the world # 39;s largest pork producer , said profit in the fiscal second quarter rose 61 percent as the company sold more hogs at higher prices .",deeplift,dev,2,dev_15807,deeplift
483,"BigFix , an enterprise security vendor , announced yesterday that its BigFix Enterprise Suite   quot;supports and simplifies quot ; the deployment of Windows XP Service Pack 2 ( SP2 ) .",gradients,dev,4,dev_483,gradients
13062,"November 10 , 2004   If you # 39;ve needed an excuse to buy a new phone , now you # 39;ve got one , provided that you have some extra cash lying around : SK Telecom and KTF said yesterday that they will begin offering video phone services in Korea within a couple of",scaled attention,dev,0,dev_13062,scaled attention
2282,The Israeli army said it foiled early Tuesday morning a suicide bombing attack by a Palestinian at Erez Crossing on the northern tip of Gaza .,gradients,dev,4,dev_2282,gradients
290,"If you go by the headlines alone , it sounds like RealNetworks ( Nasdaq : RNWK ) is about to embark on a heady money - losing venture as it halves prices for its music download service Harmony , looking to take a bite out of Apple ...",ig,dev,1,dev_290,ig
12326,Shaquille O'Neal scores 17 points and Dwyane Wade adds 28 as the Heat defeat the Cavaliers 92 - 86 in Shaq 's home debut with Miami .,scaled attention,dev,0,dev_12326,scaled attention
15399,LONDON - Manchester United is confident it can catch up nine points on Premier League leaders Chelsea . First it has to win its third match in a row for the first time this season .,scaled attention,dev,0,dev_15399,scaled attention
4947,"London , England ( Sports Network ) - Not much was expected from Everton this season , especially after the departure of star striker Wayne Rooney to Manchester United .",scaled attention,dev,0,dev_4947,scaled attention
10799,"Reynolds American Inc. , the maker of Camel and Kool cigarettes , on Monday posted a third - quarter profit and raised its expectations for the full year on tax benefits and cost savings .",scaled attention,dev,0,dev_10799,scaled attention
9175,"Cheap computers , blazing fast networks and clever engineers are finding more ways to keep tabs on where you go and what you buy , even what you 'll do next.&lt;BR&gt;&lt;FONT face=""verdana , MS Sans Serif , arial , helvetica "" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt ;",scaled attention,dev,0,dev_9175,scaled attention
4458,"  NEW YORK ( Reuters ) - Four big banks face a U.S. Securities   and Exchange Commission probe of their auction - rate bond   operations , a securities filing shows .",deeplift,dev,2,dev_4458,deeplift
527,AP - Tim Wakefield pitched eight strong innings and the Boston Red Sox moved a season - high 15 games over .500 with a 6 - 4 win over the Toronto Blue Jays on Wednesday night .,deeplift,dev,2,dev_527,deeplift
10727,"InfoWorld - Research in Motion ( RIM ) , the company that first pushed e - mail over wireless , is teaming up with PeopleSoft to offer corporate users PeopleSoft Enterprise Sales for BlackBerry , a sales application with similar push technology .",lime,dev,3,dev_10727,lime
1183,"Only a week after taking his maiden IRL victory , Adrian Fernandez was back on the podium after finishing a strong second in the Honda Indy 225 .",scaled attention,dev,0,dev_1183,scaled attention
11795,"WASHINGTON : Greenhouse gases have contributed to a gradual warming of the ecologically - fragile Arctic region , causing massive climate changes , including melting glaciers and sea ice , according to a soon - to - be - released environmental study .",deeplift,dev,2,dev_11795,deeplift
8158,Saturday 's qualifying session for the Japan GP is postponed because of a typhoon .,deeplift,dev,2,dev_8158,deeplift
9182,The Houston Astros return home for Game 3 of the National League Championship Series tomorrow with ace pitchers Roger Clemens and Roy Oswalt ready to go against the St. Louis Cardinals .,scaled attention,dev,0,dev_9182,scaled attention
4356,"  UNITED NATIONS ( Reuters ) - Taiwan President Chen Shui - bian   made his case for U.N. membership in an unusual satellite news   conference on Wednesday , saying his country was the victim of   "" political apartheid "" engineered by China .",scaled attention,dev,0,dev_4356,scaled attention
13106,"DAVIE , Fla. Nov 10 , 2004 - The Miami Dolphins terminated the contract of starting free safety Antuan Edwards on Wednesday , citing his subpar play and the emergence of his backups as reasons for the surprising move .",gradients,dev,4,dev_13106,gradients
8505,"Wall Street had a tough week as oil prices jumped 6.4 percent , to a record \$53.31 a barrel , and the Labor Department reported that 96,000 jobs were created in September , about 40,000 fewer than economists expected .",scaled attention,dev,0,dev_8505,scaled attention
3650,"Not allowing a 12 - yard sack on third down with less than a minute to play , turning a potential game - tying 36 - yard field goal into a 48 - yarder .",deeplift,dev,2,dev_3650,deeplift
4504,"AP - William Green had two options : run out of bounds and settle for a good gain , or fight for extra yardage and perhaps a first down .",lime,dev,3,dev_4504,lime
8238,Baltimore Ravens running back Jamal Lewis is suspended for two games by the NFL but will be available to face the Redskins Sunday .,scaled attention,dev,0,dev_8238,scaled attention
11192,"Gonzaga 's Don Smith , one of the area 's most successful area soccer coaches over the past two decades , will retire at the end of the season .",gradients,dev,4,dev_11192,gradients
23,"AP - Experts from Europe and Asia surveyed 1,400 - year - old relics of an ancient citadel in Hanoi Tuesday and said they were concerned the priceless antiquities were at risk from exposure to the elements .",lime,dev,3,dev_23,lime
11268,Reuters - Rescuers who saved a two - year - old\boy trapped by a landslide after Japan 's deadliest earthquake\in a decade struggled to free his sister on Thursday but hopes\were fading for her survival .,gradients,dev,4,dev_11268,gradients
17905,"NEW YORK - Since Merck # 39;s Vioxx was pulled from the market for increasing the risk of heart attack and stroke in a long - term study , there has been heated debate over whether other , similar medicines , such as Pfizer # 39;s Celebrex and Bextra , carry similar risks",scaled attention,dev,0,dev_17905,scaled attention
8938,  ABUJA ( Reuters ) - A general strike in Nigeria which has   raised fears over oil supplies was set to enter a fourth day   after a court rebuffed a government request to declare it   illegal on Wednesday .,deeplift,dev,2,dev_8938,deeplift
7295,A former Enron accountant testified Thursday that he knew an arrangement to temporarily sell Merrill Lynch some barges just to boost Enron # 39;s bottom line was wrong and he planned to lie about it if confronted .,gradients,dev,4,dev_7295,gradients
1087,"For those sinking in a flood of unpaid loans , don # 39;t lose hope . Many people have gone before you and made it out . Simply put , there are debt - defying actions you can take .",scaled attention,dev,0,dev_1087,scaled attention
8497,The apparent demotion of Zimbabwe # 39;s controversial Information Minister Jonathan Moyo in the ruling Zanu - PF party hierarchy has been greeted with cheers by the independent media who said he deserved to fall .,scaled attention,dev,0,dev_8497,scaled attention
16312,"Wolverhampton   amp ; Dudley , the brewer and pub group , announced a 120 m offer for Burtonwood of Cheshire , sparking speculation about a wave of sector consolidation .",deeplift,dev,2,dev_16312,deeplift
2272,NEW YORK - Oil prices fell for the fifth day in a row last week after word of a peace deal in the embattled Iraqi city of Najaf raised hopes of more reliable oil shipments from the energy - rich country and encouraged a run of profit - taking by big money,scaled attention,dev,0,dev_2272,scaled attention
8417,"AP - Adrian Peterson ran for 225 yards and made many big plays when No . 2 Oklahoma needed it most , helping the Sooners grind out a 12 - 0 victory over No . 5 Texas and stretch their winning streak in the storied rivalry to five straight .",deeplift,dev,2,dev_8417,deeplift
11831,"Unions declared the top multinational oil company here , the Royal Dutch / Shell Group ,   quot;an enemy of the Nigerian people quot ; on Sunday and called for a Nov.",gradients,dev,4,dev_11831,gradients
1408,"Reuters - A compound used by blueberries and\grapes to fight off fungal infections could help lower\cholesterol , U.S. researchers reported on Tuesday .",lime,dev,3,dev_1408,lime
4741,Auburn athletic director David Housel stuck to his plan of waiting until Friday morning to assess the viability of holding the game between the 15th - ranked Tigers and No .,scaled attention,dev,0,dev_4741,scaled attention
7765,"Maurice Wilkins , who shared a Nobel Prize for the discovery of DNA # 39;s structure , died yesterday aged 87 . Wilkins was still a staff member at King # 39;s College London , where he had worked since 1946 .",lime,dev,3,dev_7765,lime
10082,Samarra is hit by its first major attack since US - led forces recaptured the town from insurgents three weeks ago .,scaled attention,dev,0,dev_10082,scaled attention
231,"ATHENS , Greece - Top American sprinters Jason Lezak and Ian Crocker missed the cut in the Olympic 100 - meter freestyle preliminaries Tuesday , a stunning blow for a country that had always done well in the event .     Pieter van den Hoogenband of the Netherlands and Australian Ian Thorpe advanced to the evening semifinal a day after dueling teenager Michael Phelps in the 200 freestyle , won by Thorpe ...",gradients,dev,4,dev_231,gradients
11687,"It didn # 39;t take long for Austin Croshere to figure out that the Indiana Pacers lost another one of their stars to injury .   quot;I saw the look on the X - ray guy # 39;s face when he walked out , quot ; Croshere said .",deeplift,dev,2,dev_11687,deeplift
8755,Russia have been hit by injury and illness as the departure of left winger Andrei Karyaka on Tuesday left the squad only 17 fit players for Wednesday # 39;s World Cup qualifier away to Portugal .,gradients,dev,4,dev_8755,gradients
4220,"A jury decided Monday that the attacks on the World Trade Center were two separate events for insurance purposes , meaning leaseholder Larry Silverstein can collect up to \$4.6 billion for rebuilding efforts .",scaled attention,dev,0,dev_4220,scaled attention
16375,"Reuters - U.S. consumers still face sharply\higher home heating bills this winter , but prices will be\somewhat lower than earlier feared due to milder weather and\easing prices , the government said on Tuesday .",scaled attention,dev,0,dev_16375,scaled attention
5881,"AP - Porter Goss was sworn in Friday to head the CIA and lead an intelligence community that has faced intense criticism for faulty information   # 151 ; and failing to share good information it did gather   # 151 ; before the Sept. 11 , 2001 , terrorist attacks and the war in Iraq .",scaled attention,dev,0,dev_5881,scaled attention
12211,"Holder Tim Henman , beaten 7 - 5 , 6 - 1 at the Paris Masters by Russian Mikhail Youzhny in the third round Friday , has turned his sights toward the Masters Cup .",deeplift,dev,2,dev_12211,deeplift
15844,"Gazprom is considering a recommendation from Deutsche Bank that it buy Yuganskneftegaz , Yukos # 39 ; main production unit , as part of a wider strategy to increase its presence in the oil sector , a company official said Monday .",scaled attention,dev,0,dev_15844,scaled attention
8013,"com .   quot;It was a flawless flight and a glorious day for our family , quot ; said William Binnie . He , wife Catherine and daughters Sheila and Katie had good reason to celebrate on Monday .",scaled attention,dev,0,dev_8013,scaled attention
1097,"When the Genesis capsule comes back to Earth with its samples of the sun , helicopter pilots will be waiting for it , ready to snag it out of the sky .",lime,dev,3,dev_1097,lime
9195,"LONDON ( CBS.MW ) -- Manchester United , the most well - known soccer club in the world , is expected Friday to make a statement on the status of its takeover approach , the BBC reported , as speculation grows that Malcolm Glazer # 39;s talks with its largest",ig,dev,1,dev_9195,ig
3953,"Russia is struggling to decide whether it should focus more on fighting inflation to keep goods affordable for consumers or on restraining the ruble to support local producers , the deputy prime minister , Alexander Zhukov , said Monday .",scaled attention,dev,0,dev_3953,scaled attention
9982,The keyboard is mightier than the whiteboard at an emergency room in the Bronx where the use of computers is now a staple .,ig,dev,1,dev_9982,ig
9374,"The gale that engulfed England # 39;s footballers against Azerbaijan in Baku on Wednesday night would have had ominous significance in the times of Samuel Pepys , when a superstitious populace believed",gradients,dev,4,dev_9374,gradients
11514,"SYDNEY ( Dow Jones)--As investors speculate about the future landscape of the Australian media industry , newspaper publisher John Fairfax Holdings Ltd.",scaled attention,dev,0,dev_11514,scaled attention
4786,WASHINGTON ( CBS.MW ) -- Qualcomm on Friday said it may have to reduce this year # 39;s revenue by \$298 million because of the way it accounts for royalty payments .,scaled attention,dev,0,dev_4786,scaled attention
4474,"Outlook : Tommy Armour III broke the PGA # 39;s 72 - hole scoring record last year with a 26 - under par 254 . Justin Leonard had back - to - back wins here in 2000 - 01 , and Loren Roberts has finished first and second here in 2002 - 03 .",deeplift,dev,2,dev_4474,deeplift
13761,"AP - A fight breaks out , and even though people at the far side of the crowd ca n't see what 's going on , they are immediately on edge . Now , a Harvard researcher has an explanation for this fear contagion , the quick spread of emotion through a crowd .",lime,dev,3,dev_13761,lime
14288,"  NAIROBI ( Reuters ) - Russia formally ratified the Kyoto   Protocol on global warming on Thursday , clearing the way for   the environment pact to come into force in February 2005 .",ig,dev,1,dev_14288,ig
1044,"New Delhi , Aug 21.(PTI ): The indefinite nationwide truckers # 39 ; strike protesting the imposition of service tax today evoked mixed response with a section of transporters in Karnataka and Tamil Nadu staying away from the protest .",scaled attention,dev,0,dev_1044,scaled attention
3332,"The genetic profiles held by police for criminal investigations are not sophisticated enough to prevent false identifications , according to the father of DNA fingerprinting .",lime,dev,3,dev_3332,lime
7386,The man charged with making US computer networks safer has resigned suddenly .,lime,dev,3,dev_7386,lime
4400,LONDON : Coach Jose Mourinho began his quest for a second successive Champions League title in the best way possible when his Chelsea side beat Paris St Germain 3 - 0 in their opening Group H match on Tuesday .,deeplift,dev,2,dev_4400,deeplift
4767,"AP - Prosecutors have charged 11 people in California , Texas and Washington state with conspiring to distribute more than   # 36;30 million of counterfeit computer software and products .",scaled attention,dev,0,dev_4767,scaled attention
17794,"  SAN FRANCISCO ( Reuters ) - Apple Computer Inc. & lt;A HREF=""http://www.reuters.co.uk / financeQuoteLookup.jhtml?ticker = AAPL.O qtype = sym infotype = info qcat = news""&gt;AAPL.O&lt;/A&gt ; on   Thursday said sales of songs bought from its market - leading   iTunes online music store had topped 200 million , a figure that   was about in line with what some analysts had been expecting .",deeplift,dev,2,dev_17794,deeplift
14257,UN Secretary General Kofi Annan urged the Security Council on Thursday to issue   quot;the strongest warning quot ; to the forces fighting in Sudan to bring an end to the civil wars there .,scaled attention,dev,0,dev_14257,scaled attention
15811,"Iraqi insurgents are targeting fellow Iraqis serving as police or national guardsmen and their families , the New York Times reported Tuesday .",scaled attention,dev,0,dev_15811,scaled attention
12059,"A US soldier who pleaded guilty to deserting to North Korea nearly four decades ago was sentenced to 30 - days confinement and a dishonorable discharge on Wednesday , ending one of the Cold War # 39;s strangest dramas .",attention,dev,5,dev_12059,attention
4173,"Atlanta holds a 9 - 4 edge in the season series , and has won four of seven in New York ... The doubleheader was the Braves # 39 ; second in five days after they were swept at home by Philadelphia on September 8 ... The last doubleheader between these clubs at Shea",attention,dev,5,dev_4173,attention
11953,"SEOUL : South Korea # 39;s leading home appliance maker , LG Electronics Inc. , declared an all - out war on Japan # 39;s Matsushita Electric Industrial Co.",ig,dev,1,dev_11953,ig
1159,"PC maker Gateway Inc. said on Sunday its new line of notebooks , desktop personal computers and monitors aimed at retail markets will be available at Micro Center # 39;s 20 stores in the United States .",lime,dev,3,dev_1159,lime
11015,"United States Steel Corp. saw profits rise in the third quarter , thanks to both strong demand and cost cuts . Pittsburgh - based US Steel on Tuesday reported third - quarter net income of \$354 million , or \$2 .",deeplift,dev,2,dev_11015,deeplift
10623,"Arsene Wenger has accused ManYoo of deliberately targeting Jose Reyes during Sundays controversial clash at Old Trafford . As well as fuming at the penalty awarded by Mike Riley , Wenger was incensed by the",scaled attention,dev,0,dev_10623,scaled attention
664,"Apple Computer Inc. on Thursday recalled the batteries used in 15 - inch PowerBook G4 computers , due to an internal short that can cause the batteries to overheat and pose a fire hazard to consumers .",lime,dev,3,dev_664,lime
15496,"Two US marines were killed on Thursday in the flashpoint city of Fallujah , where US marines are fighting pockets of insurgents , a US military spokesman said in a statement Saturday .",scaled attention,dev,0,dev_15496,scaled attention
4048,"OAKLAND , Calif. -- What fan would expect to go a baseball game and get hit by a chair thrown into the stands by a player ? That # 39;s what happened in Monday night # 39;s 7 - 6 win by Oakland over Texas in 10 innings .",scaled attention,dev,0,dev_4048,scaled attention
17482,"Caleb Sima still marvels at how angry the people around him got when he fled high school for a computer job during the high - tech boom , thumbing his nose at the traditional career path .",lime,dev,3,dev_17482,lime
14822,"AP - Despite 33 victories in the last four years , Annika Sorenstam keeps saying that winning is not as easy as she makes it look .",ig,dev,1,dev_14822,ig
1410,One of Canada 's biggest cigarette firms seeks creditor protection after a C\$1.4bn(US\$1bn ) tax claim over alleged smuggling .,ig,dev,1,dev_1410,ig
17860,"Shares in Britain # 39;s Cairn Energy , which have soared on a series of oil discoveries in India , plunged by one - fifth on Friday on worries about a tax dispute with the Indian government and a lack of new finds .",ig,dev,1,dev_17860,ig
8283,"  LAS VEGAS , Nevada ( Reuters ) - PGA Tour veteran JL Lewis   reeled off seven birdies and an eagle to race into a one - shot   lead after the second round of the \$4 million Las Vegas   Invitational Friday .",scaled attention,dev,0,dev_8283,scaled attention
16953,"Today marks the 20th anniversary of the founding of Cisco Systems , and the company 's CEO , John Chambers , took time this week to talk about where his company has been , mistakes it 's made and where it 's going now .",lime,dev,3,dev_16953,lime
9612,"An additional display of the rift formed between Prime Minister Ariel Sharon and the settlers came late Monday night after residents of Gush Katif canceled a meeting scheduled for today with Sharon , explaining that the meeting would be pointless since",scaled attention,dev,0,dev_9612,scaled attention
6728,"  LONDON ( Reuters ) - Wall Street was expected to edge higher   at Thursday 's opening as oil prices receded from record highs ,   easing fears spiraling costs will crimp firms ' profits .",deeplift,dev,2,dev_6728,deeplift
17673,Google Inc. won a major legal victory yesterday when a federal judge ruled that the search engine 's advertising policy does not violate federal trademark laws .,gradients,dev,4,dev_17673,gradients
8188,"Dell is recalling some of the one million electrical adapters manufactured in China by Delta Electronics of Taipei and sold for use with Dell notebook computers , following seven reports of the adapters overheating .",lime,dev,3,dev_8188,lime
9069,"According to anti - virus firm Sophos , there are quite a few messages posted about pictures of Beckham with a woman in an enticing position .",lime,dev,3,dev_9069,lime
7119,"SIALKOT , Pakistan -- A suicide attacker carrying a bomb in a briefcase struck a Shi'ite mosque crammed with hundreds of worshipers in eastern Pakistan , killing at least 25 people and wounding more than 50 during prayers yesterday .",scaled attention,dev,0,dev_7119,scaled attention
14276,"Staking its prestige on Sudan # 39;s troubled peace process , the UN Security Council met away from its New York home for the first time in 14 years on Thursday to try to end two decades of war in Africa # 39;s biggest country .",scaled attention,dev,0,dev_14276,scaled attention
3587,Denver - based Qwest Communications International Inc. reportedly has agreed to settle fraud charges for \$250 million . The Associated Press and Reuters reported Friday afternoon that Qwest ( NYSE : Q ) has agreed,scaled attention,dev,0,dev_3587,scaled attention
6815,"Apparently , the same things that makes large , toothy predators so good at hunting big game also make them more vulnerable to extinction - as is shown in a new study of a",lime,dev,3,dev_6815,lime
6895,MOSCOW - The Russian government has approved the bill On the ratification of the Kyoto Protocol to the United Nations Framework Convention on Climate Change .,scaled attention,dev,0,dev_6895,scaled attention
8532,SHOPPING centres giant Westfield has cut a deal with fellow Australian developer Multiplex and billionaires Simon and David Reuben to carve up property group Chelsfield in a purchase worth 2 .,deeplift,dev,2,dev_8532,deeplift
13996,"Hewlett - Packard Co. today reported net income for its fiscal fourth quarter of \$1.09 billion , compared with \$862 million during the same quarter a year earlier .",ig,dev,1,dev_13996,ig
13557,Darren Clarke has fired a closing 68 to win Japan # 39;s Taiheiyo Masters with a record 22 - under - par total of 266 . The cigar - puffing Northern Irishman finished six shots clear of European,deeplift,dev,2,dev_13557,deeplift
9775,"South African PC demand looks set to keep pace with the good worldwide demand , with rand strength , product bundling",deeplift,dev,2,dev_9775,deeplift
1738,"SAN JOSE , Calif. - Personal computer giant Hewlett - Packard Co. is stepping deeper than ever into the consumer electronics arena with its fall product lineup - so don # 39;t be surprised if you hear about   quot;HP TV",lime,dev,3,dev_1738,lime
11385,Reuters - Thousands of bleary - eyed Red Sox fans\showed up for work on Thursday still stunned and giddy after a\night of celebrating something many thought impossible : a World\Series victory for baseball 's perennial also - rans that put an\end to an 86 - year - old curse .,scaled attention,dev,0,dev_11385,scaled attention
5153,"  MONTREAL ( Reuters ) - ID Biomedical Corp. & lt;A HREF=""http://www.investor.reuters.com / FullQuote.aspx?ticker = IDB.TO target=/stocks / quickinfo / fullquote""&gt;IDB.TO&lt;/A&gt ; & lt;A HREF=""http://www.investor.reuters.com / FullQuote.aspx?ticker = IDBE.O target=/stocks / quickinfo / fullquote""&gt;IDBE.O&lt;/A&gt ;   signed a distribution deal for its Fluviral drug that could   reap sales of up to \$2.5 billion over a decade and help U.S.   authorities ease a vaccine shortage as early as next year , it   said on Monday .",scaled attention,dev,0,dev_5153,scaled attention
1027,"So Paula Radcliffe is mortal , and probably now destined never to win an Olympic gold medal . For the past two years she has run like a goddess inexorably heading towards Athens glory .",scaled attention,dev,0,dev_1027,scaled attention
7597,"OTTAWA ( CP ) - Profits at Canadian retailers are forecast to rise by nearly one - third this year , according to a report by the Conference Board of Canada .",scaled attention,dev,0,dev_7597,scaled attention
6432,"Cleveland Browns running back Lee Suggs may be ready to play his first game of the season Sunday . Suggs , who had been expected to start at running back this season , missed the first three games because of a neck injury .",gradients,dev,4,dev_6432,gradients
16496,"A longtime Delta Air Lines employee was killed at Logan Airport yesterday morning when he was struck by a de - icing truck driven by a good friend , officials said .",gradients,dev,4,dev_16496,gradients
3018,Interim liquidators have been appointed for no - frills sharebroker Access Brokerage which was suspended from trading on Monday morning after a weekend investigation by the stock exchange .,ig,dev,1,dev_3018,ig
3431,AC Milan begin their Serie A campaign at home to newly - promoted Livorno on Saturday evening under the weight of great expectation .,ig,dev,1,dev_3431,ig
13606,The cycle is now complete : The Lions are back to playing as poorly on the road as they have been at home . The only thing that saved them from total annihilation Sunday,scaled attention,dev,0,dev_13606,scaled attention
2994,"Braves left - hander Mike Hampton missed his scheduled start Monday against the Philadelphia Phillies because of a stiff neck . Hampton # 39;s neck had been bothering him for the past three days , said",gradients,dev,4,dev_2994,gradients
2279,"China has deported an Australian activist and his American colleague after they campaigned for an improvement in human rights in Tibet by unfurling a banner in Beijing , it was reported today .",scaled attention,dev,0,dev_2279,scaled attention
11390,World number two Amelie Mauresmo shrugged off a thigh strain to cruise into the last eight of the Linz Open with a 6 - 4 6 - 0 win over Marta Domachowska on Thursday .,deeplift,dev,2,dev_11390,deeplift
8630,An independent inquiry is helping to defuse a controversy over ink used in Saturday # 39;s election . By Scott Baldauf   Staff writer of The Christian Science Monitor .,scaled attention,dev,0,dev_8630,scaled attention
5141,"BIRMINGHAM ( England ) - Furious India captain Sourav Ganguly , himself out for nought , launched a blistering attack on his misfiring batsmen after his team were knocked out of the ICC Champions Trophy by bitter rivals Pakistan on Sunday .",scaled attention,dev,0,dev_5141,scaled attention
15350,Iraq # 39;s elections were thrown into renewed doubt only days after the interim government won international backing for its decision to hold the poll at the end of January .,scaled attention,dev,0,dev_15350,scaled attention
10562,"On homecoming day , there is always added incentive for the home team to outperform the visitors . That incentive is not lost when the visiting team happens to be riding a 15 - game winning streak .",scaled attention,dev,0,dev_10562,scaled attention
8757,"The defense of Slobodan Milosevic resumed Tuesday , even as an appeals panel of the U.N. war crimes tribunal considered the former Yugoslav president 's request to fire his court - appointed lawyer and let him represent himself again .",scaled attention,dev,0,dev_8757,scaled attention
16385,"Link Popularity and Search Engine Ranking Pitfalls\\As we all know Google uses their PageRank technology to measure link popularity by counting the number of inbound links to your web pages , and it is one of the many factors influencing your ranking . Most website owners do not utilize properly what PageRank ...",lime,dev,3,dev_16385,lime
5283,"On Sunday evening , if you were in Birmingham , you couldn # 39;t have missed the boisterous celebrations on the roads . And you couldn # 39;t be blamed for thinking you were in Lahore or Delhi , not Birmingham .",scaled attention,dev,0,dev_5283,scaled attention
17313,"President Chen resigns as DPP chairman in Taiwan , in a move which could signal a new drive to find consensus .",scaled attention,dev,0,dev_17313,scaled attention
9770,"SPACE.com - New observations of dust around young stars suggests collisions of large asteroid - like objects and fledgling planets are frequent . But that does n't likely stop the formation of rocky planets like Earth , a process that may well be common , the results suggest .",gradients,dev,4,dev_9770,gradients
7475,"The Belmont Stakes is leaving NBC to return to ABC in 2006 , ending a television partnership with the Kentucky Derby and the Preakness Stakes .",deeplift,dev,2,dev_7475,deeplift
3826,"At least 110 people were killed across Iraq yesterday in a sharp escalation of violence that saw gun battles , car bombs and bombardments rock the capital .",scaled attention,dev,0,dev_3826,scaled attention
16935,  quot;Looks like you were right on about Cal getting passed over for the Rose Bowl bid . I don # 39;t think it would have made a bit of difference if Cal had won by 110 points instead of just 10 .,scaled attention,dev,0,dev_16935,scaled attention
3892,"TORONTO - Onex Corp. has agreed with Laidlaw International Inc. to acquire two of its subsidiaries , American Medical Response Inc.",deeplift,dev,2,dev_3892,deeplift
9867,"Reuters - Rescuers dug the bodies of six\members of one family -- a couple and their four children --\out of the rubble of an Iraqi house bombed by U.S. warplanes on\Wednesday , witnesses said .",ig,dev,1,dev_9867,ig
6670,"Proclaiming it a great day in Washington , Mayor Tony Williams confirmed Wednesday afternoon that Major League Baseball is returning to Washington .",deeplift,dev,2,dev_6670,deeplift
6241,"AT amp;T Wireless # 39 ; messaging device and service was unveiled , targeting teens and young adults who are heavy users of instant messaging ( IM ) .",lime,dev,3,dev_6241,lime
11728,"David Wittig # 39;s spoils from his tenure as chief executive of Kansas # 39 ; largest electric utility , a company once brash enough to be called the Enron of the Midwest , are the talk of Topeka .",deeplift,dev,2,dev_11728,deeplift
15260,"Sometimes , when we think we # 39;re changing 4 quarters for a dollar , we actually get short - changed . This is the case with the death of Yasser Arafat .",ig,dev,1,dev_15260,ig
7066,"US manufacturing activity remained strong in September and construction spending surged to a record high in August , according to a pair of reports issued Friday that provided an optimistic look at the sturdiness of the economy .",attention,dev,5,dev_7066,attention
7859,"WASHINGTON - Saddam Hussein was obsessed with his status in the Arab world , dreaming of weapons of mass destruction to pump up his prestige . And even as the United States fixated on him , he was fixated on his neighboring enemy , Iran ...",gradients,dev,4,dev_7859,gradients
3748,"China # 39;s recent decision to cancel a military exercise , followed a few days later by a similar announcement from Taiwan , offered the first ray of hope in months that relations were on the mend .",scaled attention,dev,0,dev_3748,scaled attention
4453,"The parent company of Gap , Banana Republic and Old Navy plans to test a new idea for a clothing chain targeting women over 35 . In a statement , Gap Incorporated says it will try out its new",ig,dev,1,dev_4453,ig
12345,"As Palestinian leader Yasser Arafat clung to life Thursday , many in the West began to hope -- not for his death , but for the possibility that peace might follow it .",ig,dev,1,dev_12345,ig
