,text,label,exp_split,label_id,annotation_id,feat
554,holden caulfield did it better,3,dev,deeplift,dev_554,deeplift
199,good film but very glum,2,dev,ig,dev_199,ig
109,reign of fire looks as if it was made without much thought and is best watched that way,0,dev,attention,dev_109,attention
825,perceptive in its vision of nascent industrialized world politics as a new art form but far too clunky didactic and saddled with scenes that seem simply an ill fit for this movie,3,dev,deeplift,dev_825,deeplift
205,this flick is about as cool and crowd pleasing as a documentary can get,4,dev,gradients,dev_205,gradients
124,fun flip and terribly hip bit of cinematic entertainment,0,dev,attention,dev_124,attention
75,the movie is beautiful to behold and engages one in a sense of epic struggle inner and outer that s all too rare in hollywood s hastier productions,4,dev,gradients,dev_75,gradients
556,oh come on,1,dev,lime,dev_556,lime
518,it treats women like idiots,2,dev,ig,dev_518,ig
103,people cinema at its finest,2,dev,ig,dev_103,ig
302,lovely and poignant,2,dev,ig,dev_302,ig
77,it s a much more emotional journey than what shyamalan has given us in his past two movies and gibson stepping in for bruce willis is the perfect actor to take us on the trip,0,dev,attention,dev_77,attention
720,as vulgar as it is banal,4,dev,gradients,dev_720,gradients
239,morton uses her face and her body language to bring us morvern s soul even though the character is almost completely deadpan,1,dev,lime,dev_239,lime
847,it s played in the most straight faced fashion with little humor to lighten things up,2,dev,ig,dev_847,ig
585,minority report is exactly what the title indicates a report,2,dev,ig,dev_585,ig
748,dragonfly has no atmosphere no tension nothing but costner flailing away,3,dev,deeplift,dev_748,deeplift
832,it s not original and robbed of the element of surprise it does n t have any huge laughs in its story of irresponsible cops who love to play pranks,0,dev,attention,dev_832,attention
438,all in all the film is an enjoyable and frankly told tale of a people who live among us but not necessarily with us,1,dev,lime,dev_438,lime
541,the longer the movie goes the worse it gets but it s actually pretty good in the first few minutes,1,dev,lime,dev_541,lime
453,at times the suspense is palpable but by the end there s a sense that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential,0,dev,attention,dev_453,attention
564,one of the more irritating cartoons you will see this or any year,2,dev,ig,dev_564,ig
746,so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises,2,dev,ig,dev_746,ig
770,it s hampered by a lifetime channel kind of plot and a lead actress who is out of her depth,0,dev,attention,dev_770,attention
401,what distinguishes time of favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts,0,dev,attention,dev_401,attention
5,dazzles with its fully written characters its determined stylishness which always relates to characters and story and johnny dankworth s best soundtrack in years,3,dev,deeplift,dev_5,deeplift
190,there s something auspicious and daring too about the artistic instinct that pushes a majority oriented director like steven spielberg to follow a i with this challenging report so liable to unnerve the majority,1,dev,lime,dev_190,lime
632,wince inducing dialogue thrift shop costumes prosthetic makeup by silly putty and kmart blue light special effects all conspire to test trekkie loyalty,2,dev,ig,dev_632,ig
538,well nigh unendurable though the picture strains to become cinematic poetry it remains depressingly prosaic and dull,0,dev,attention,dev_538,attention
660,this is an egotistical endeavor from the daughter of horror director dario argento a producer here but her raw performance and utter fearlessness make it strangely magnetic,1,dev,lime,dev_660,lime
483,the film is based on truth and yet there is something about it that feels incomplete as if the real story starts just around the corner,2,dev,ig,dev_483,ig
264,this is a good script good dialogue funny even for adults,0,dev,attention,dev_264,attention
60,it s worth seeing just on the basis of the wisdom and at times the startling optimism of the children,0,dev,attention,dev_60,attention
838,attempts by this ensemble film to impart a message are so heavy handed that they instead pummel the audience,2,dev,ig,dev_838,ig
142,a movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it s approached with imagination and flair,3,dev,deeplift,dev_142,deeplift
593,for close to two hours the audience is forced to endure three terminally depressed mostly inarticulate hyper dysfunctional families for the price of one,4,dev,gradients,dev_593,gradients
616,paid in full is so stale in fact that its most vibrant scene is one that uses clips from brian de palma s scarface,2,dev,ig,dev_616,ig
840,nervous breakdowns are not entertaining,1,dev,lime,dev_840,lime
94,the second coming of harry potter is a film far superior to its predecessor,1,dev,lime,dev_94,lime
346,it s a beautiful madness,1,dev,lime,dev_346,lime
773,in the end the movie collapses on its shaky foundation despite the best efforts of director joe carnahan,0,dev,attention,dev_773,attention
633,i do n t mind having my heartstrings pulled but do n t treat me like a fool,1,dev,lime,dev_633,lime
513,the cold turkey would ve been a far better title,0,dev,attention,dev_513,attention
637,not since freddy got fingered has a major release been so painful to sit through,0,dev,attention,dev_637,attention
48,building slowly and subtly the film sporting a breezy spontaneity and realistically drawn characterizations develops into a significant character study that is both moving and wise,2,dev,ig,dev_48,ig
464,it s another video movie photographed like a film with the bad lighting that s often written off as indie film naturalism,3,dev,deeplift,dev_464,deeplift
90,so refreshingly incisive is grant that for the first time he ll probably appeal more to guys than to their girlfriends who drag them to this movie for the hugh factor,1,dev,lime,dev_90,lime
197,awesome creatures breathtaking scenery and epic battle scenes add up to another spectacular spectacle,4,dev,gradients,dev_197,gradients
230,fresnadillo s dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n t go away,1,dev,lime,dev_230,lime
625,the time machine is a movie that has no interest in itself,0,dev,attention,dev_625,attention
848,the heavy handed film is almost laughable as a consequence,4,dev,gradients,dev_848,gradients
51,a swashbuckling tale of love betrayal revenge and above all faith,1,dev,lime,dev_51,lime
369,a solid examination of the male midlife crisis,4,dev,gradients,dev_369,gradients
324,corny schmaltzy and predictable but still manages to be kind of heartwarming nonetheless,0,dev,attention,dev_324,attention
334,trademark american triteness and simplicity are tossed out the window with the intelligent french drama that deftly explores the difficult relationship between a father and son,1,dev,lime,dev_334,lime
671,it s so mediocre despite the dynamic duo on the marquee that we just ca n t get no satisfaction,0,dev,attention,dev_671,attention
558,not exactly the bees knees,4,dev,gradients,dev_558,gradients
781,portentous and pretentious the weight of water is appropriately titled given the heavy handedness of it drama,1,dev,lime,dev_781,lime
792,serving sara does n t serve up a whole lot of laughs,2,dev,ig,dev_792,ig
43,a smart witty follow up,2,dev,ig,dev_43,ig
450,indifferently implausible popcorn programmer of a movie,1,dev,lime,dev_450,lime
100,byler reveals his characters in a way that intrigues and even fascinates us and he never reduces the situation to simple melodrama,0,dev,attention,dev_100,attention
785,at the very least if you do n t know anything about derrida when you walk into the theater you wo n t know much more when you leave,0,dev,attention,dev_785,attention
525,almost gags on its own gore,4,dev,gradients,dev_525,gradients
422,the lion king was a roaring success when it was released eight years ago but on imax it seems better not just bigger,1,dev,lime,dev_422,lime
704,professionally speaking it s tempting to jump ship in january to avoid ridiculous schlock like this shoddy suspense thriller,0,dev,attention,dev_704,attention
669,i do n t think i laughed out loud once,3,dev,deeplift,dev_669,deeplift
573,it s a cookie cutter movie a cut and paste job,4,dev,gradients,dev_573,gradients
319,a psychological thriller with a genuinely spooky premise and an above average cast actor bill paxton s directing debut is a creepy slice of gothic rural americana,0,dev,attention,dev_319,attention
756,there ought to be a directing license so that ed burns can have his revoked,4,dev,gradients,dev_756,gradients
106,manages to transcend the sex drugs and show tunes plot into something far richer,0,dev,attention,dev_106,attention
246,good old fashioned slash and hack is back,2,dev,ig,dev_246,ig
824,the x potion gives the quickly named blossom bubbles and buttercup supernatural powers that include extraordinary strength and laser beam eyes which unfortunately do n t enable them to discern flimsy screenplays,2,dev,ig,dev_824,ig
380,exciting and direct with ghost imagery that shows just enough to keep us on our toes,2,dev,ig,dev_380,ig
506,once the 50 year old benigni appears as the title character we find ourselves longing for the block of wood to come back,0,dev,attention,dev_506,attention
692,as the latest bid in the tv to movie franchise game i spy makes its big screen entry with little of the nervy originality of its groundbreaking small screen progenitor,4,dev,gradients,dev_692,gradients
787,the only excitement comes when the credits finally roll and you get to leave the theater,2,dev,ig,dev_787,ig
238,the son s room is a triumph of gentility that earns its moments of pathos,0,dev,attention,dev_238,attention
739,the affectionate loopiness that once seemed congenital to demme s perspective has a tough time emerging from between the badly dated cutesy pie mystery scenario and the newfangled hollywood post production effects,2,dev,ig,dev_739,ig
139,has a lot of the virtues of eastwood at his best,0,dev,attention,dev_139,attention
614,rarely has so much money delivered so little entertainment,2,dev,ig,dev_614,ig
548,whaley s determination to immerse you in sheer unrelenting wretchedness is exhausting,4,dev,gradients,dev_548,gradients
354,with rabbit proof fence noyce has tailored an epic tale into a lean economical movie,2,dev,ig,dev_354,ig
590,i d have to say the star and director are the big problems here,2,dev,ig,dev_590,ig
526,how do you spell cliché,4,dev,gradients,dev_526,gradients
67,huston nails both the glad handing and the choking sense of hollow despair,2,dev,ig,dev_67,ig
522,so much facile technique such cute ideas so little movie,1,dev,lime,dev_522,lime
24,enormously entertaining for moviegoers of any age,1,dev,lime,dev_24,lime
249,it s an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part,0,dev,attention,dev_249,attention
107,dense with characters and contains some thrilling moments,2,dev,ig,dev_107,ig
426,not the kind of film that will appeal to a mainstream american audience but there is a certain charm about the film that makes it a suitable entry into the fest circuit,0,dev,attention,dev_426,attention
592,while the resident evil games may have set new standards for thrills suspense and gore for video games the movie really only succeeds in the third of these,2,dev,ig,dev_592,ig
32,a coda in every sense the pinochet case splits time between a minute by minute account of the british court s extradition chess game and the regime s talking head survivors,4,dev,gradients,dev_32,gradients
725,suffocated by its fussy script and uptight characters this musty adaptation is all the more annoying since it s been packaged and sold back to us by hollywood,4,dev,gradients,dev_725,gradients
477,when the film ended i felt tired and drained and wanted to lie on my own deathbed for a while,0,dev,attention,dev_477,attention
870,the title not only describes its main characters but the lazy people behind the camera as well,0,dev,attention,dev_870,attention
726,coughs and sputters on its own postmodern conceit,0,dev,attention,dev_726,attention
652,movie fans get ready to take off the other direction,3,dev,deeplift,dev_652,deeplift
463,t here s only so much anyone can do with a florid overplotted anne rice rock n roll vampire novel before the built in silliness of the whole affair defeats them,2,dev,ig,dev_463,ig
312,this is a winning ensemble comedy that shows canadians can put gentle laughs and equally gentle sentiments on the button just as easily as their counterparts anywhere else in the world,0,dev,attention,dev_312,attention
338,while undisputed is n t exactly a high it is a gripping tidy little movie that takes mr hill higher than he s been in a while,0,dev,attention,dev_338,attention
286,a strangely compelling and brilliantly acted psychological drama,0,dev,attention,dev_286,attention
355,a n utterly charming and hilarious film that reminded me of the best of the disney comedies from the 60s,1,dev,lime,dev_355,lime
679,feels haphazard as if the writers mistakenly thought they could achieve an air of frantic spontaneity by simply tossing in lots of characters doing silly stuff and stirring the pot,0,dev,attention,dev_679,attention
378,based on a devilishly witty script by heather mcgowan and niels mueller the film gets great laughs but never at the expense of its characters,1,dev,lime,dev_378,lime
759,green might want to hang onto that ski mask as robbery may be the only way to pay for his next project,0,dev,attention,dev_759,attention
207,griffiths proves she s that rare luminary who continually raises the standard of her profession,0,dev,attention,dev_207,attention
402,smart provocative and blisteringly funny,4,dev,gradients,dev_402,gradients
515,zaidan s script has barely enough plot to string the stunts together and not quite enough characterization to keep the faces straight,0,dev,attention,dev_515,attention
119,like leon it s frustrating and still oddly likable,3,dev,deeplift,dev_119,deeplift
646,a by the numbers patient doctor pic that covers all the usual ground,1,dev,lime,dev_646,lime
481,this movie is maddening,1,dev,lime,dev_481,lime
371,my big fat greek wedding uses stereotypes in a delightful blend of sweet romance and lovingly dished out humor,1,dev,lime,dev_371,lime
413,a moody multi dimensional love story and sci fi mystery solaris is a thought provoking haunting film that allows the seeds of the imagination to germinate,0,dev,attention,dev_413,attention
665,comes uncomfortably close to coasting in the treads of the bicycle thief,2,dev,ig,dev_665,ig
777,it s another stale kill by numbers flick complete with blade thin characters and terrible pun laden dialogue,2,dev,ig,dev_777,ig
856,or doing last year s taxes with your ex wife,0,dev,attention,dev_856,attention
595,in an effort i suspect not to offend by appearing either too serious or too lighthearted it offends by just being wishy washy,3,dev,deeplift,dev_595,deeplift
323,few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands,1,dev,lime,dev_323,lime
209,an important movie a reminder of the power of film to move us and to make us examine our values,0,dev,attention,dev_209,attention
603,the words frankly my dear i do n t give a damn have never been more appropriate,0,dev,attention,dev_603,attention
630,it has all the excitement of eating oatmeal,1,dev,lime,dev_630,lime
241,a superbly acted and funny gritty fable of the humanizing of one woman at the hands of the unseen forces of fate,0,dev,attention,dev_241,attention
597,nothing scary here except for some awful acting and lame special effects,2,dev,ig,dev_597,ig
114,the film tunes into a grief that could lead a man across centuries,3,dev,deeplift,dev_114,deeplift
351,a gorgeous witty seductive movie,2,dev,ig,dev_351,ig
617,that s a cheat,2,dev,ig,dev_617,ig
164,pacino is brilliant as the sleep deprived dormer his increasing weariness as much existential as it is physical,1,dev,lime,dev_164,lime
98,seldahl s barbara is a precise and moving portrait of someone whose world is turned upside down first by passion and then by illness,1,dev,lime,dev_98,lime
676,his last movie was poetically romantic and full of indelible images but his latest has nothing going for it,0,dev,attention,dev_676,attention
181,for the most part it s a work of incendiary genius steering clear of knee jerk reactions and quick solutions,1,dev,lime,dev_181,lime
266,the film will play equally well on both the standard and giant screens,1,dev,lime,dev_266,lime
439,an interesting story with a pertinent cinematically unique message told fairly well and scored to perfection i found myself struggling to put my finger on that elusive missing thing,4,dev,gradients,dev_439,gradients
721,you wonder why enough was n t just a music video rather than a full length movie,2,dev,ig,dev_721,ig
699,this is the sort of burly action flick where one coincidence pummels another narrative necessity is a drunken roundhouse and whatever passes for logic is a factor of the last plot device left standing,0,dev,attention,dev_699,attention
137,a study in shades of gray offering itself up in subtle plot maneuvers,1,dev,lime,dev_137,lime
790,the character of zigzag is not sufficiently developed to support a film constructed around him,0,dev,attention,dev_790,attention
322,if you re hard up for raunchy college humor this is your ticket right here,2,dev,ig,dev_322,ig
565,a broad melodramatic estrogen opera that s pretty toxic in its own right,4,dev,gradients,dev_565,gradients
61,a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love,5,dev,scaled attention,dev_61,scaled attention
550,the entire movie is about a boring sad man being boring and sad,0,dev,attention,dev_550,attention
198,by candidly detailing the politics involved in the creation of an extraordinary piece of music jones calls our attention to the inherent conflict between commerce and creativity,4,dev,gradients,dev_198,gradients
102,bogdanovich tantalizes by offering a peep show into the lives of the era s creme de la celluloid,1,dev,lime,dev_102,lime
0,it s a lovely film with lovely performances by buy and accorsi,0,dev,attention,dev_0,attention
210,binoche makes it interesting trying to find out,1,dev,lime,dev_210,lime
596,it s difficult to imagine the process that produced such a script but here s guessing that spray cheese and underarm noises played a crucial role,2,dev,ig,dev_596,ig
664,characters still need to function according to some set of believable and comprehensible impulses no matter how many drugs they do or how much artistic license avary employs,0,dev,attention,dev_664,attention
829,hit and miss as far as the comedy goes and a big ole miss in the way of story,0,dev,attention,dev_829,attention
242,one of the smartest takes on singles culture i ve seen in a long time,2,dev,ig,dev_242,ig
101,turns potentially forgettable formula into something strangely diverting,4,dev,gradients,dev_101,gradients
129,the continued good chemistry between carmen and juni is what keeps this slightly disappointing sequel going with enough amusing banter blessedly curse free to keep both kids and parents entertained,1,dev,lime,dev_129,lime
552,confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it,1,dev,lime,dev_552,lime
584,do not see this film,4,dev,gradients,dev_584,gradients
843,this is so bad,2,dev,ig,dev_843,ig
237,it proves quite compelling as an intense brooding character study,2,dev,ig,dev_237,ig
158,the best revenge may just be living well because this film unlike other dumas adaptations is far more likened to a treasure than a lengthy jail sentence,2,dev,ig,dev_158,ig
182,it has the charm of the original american road movies feasting on the gorgeous ramshackle landscape of the filmmaker s motherland,1,dev,lime,dev_182,lime
729,a sometimes tedious film,2,dev,ig,dev_729,ig
495,it s hard to like a film about a guy who is utterly unlikeable and shiner starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune is certainly that,2,dev,ig,dev_495,ig
97,takes the beauty of baseball and melds it with a story that could touch anyone regardless of their familiarity with the sport,1,dev,lime,dev_97,lime
482,should have been someone else,1,dev,lime,dev_482,lime
782,a fitfully amusing romp that if nothing else will appeal to fans of malcolm in the middle and its pubescent star frankie muniz,1,dev,lime,dev_782,lime
718,this is a shameless sham calculated to cash in on the popularity of its stars,2,dev,ig,dev_718,ig
33,like mike is a winner for kids and no doubt a winner for lil bow wow who can now add movies to the list of things he does well,2,dev,ig,dev_33,ig
574,even on those rare occasions when the narrator stops yammering miller s hand often feels unsure,0,dev,attention,dev_574,attention
180,a difficult absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear,1,dev,lime,dev_180,lime
817,the result is a gaudy bag of stale candy something from a halloween that died,0,dev,attention,dev_817,attention
865,even horror fans will most likely not find what they re seeking with trouble every day the movie lacks both thrills and humor,2,dev,ig,dev_865,ig
485,the lower your expectations the more you ll enjoy it,3,dev,deeplift,dev_485,deeplift
609,a coarse and stupid gross out,4,dev,gradients,dev_609,gradients
188,a cartoon that s truly cinematic in scope and a story that s compelling and heartfelt even if the heart belongs to a big four legged herbivore,4,dev,gradients,dev_188,gradients
292,it s like watching a nightmare made flesh,2,dev,ig,dev_292,ig
384,the quality of the art combined with the humor and intelligence of the script allow the filmmakers to present the biblical message of forgiveness without it ever becoming preachy or syrupy,0,dev,attention,dev_384,attention
143,thanks to scott s charismatic roger and eisenberg s sweet nephew roger dodger is one of the most compelling variations on in the company of men,0,dev,attention,dev_143,attention
502,an unclassifiably awful study in self and audience abuse,0,dev,attention,dev_502,attention
228,even if you do n t think kissinger s any more guilty of criminal activity than most contemporary statesmen he d sure make a courtroom trial great fun to watch,1,dev,lime,dev_228,lime
685,w hile long on amiable monkeys and worthy environmentalism jane goodall s wild chimpanzees is short on the thrills the oversize medium demands,4,dev,gradients,dev_685,gradients
268,true tale of courage and complicity at auschwitz is a harrowing drama that tries to tell of the unspeakable,0,dev,attention,dev_268,attention
499,it s of the quality of a lesser harrison ford movie six days seven nights maybe or that dreadful sabrina remake,3,dev,deeplift,dev_499,deeplift
157,although laced with humor and a few fanciful touches the film is a refreshingly serious look at young women,4,dev,gradients,dev_157,gradients
255,the chateau cleverly probes the cross cultural differences between gauls and yanks,1,dev,lime,dev_255,lime
174,collateral damage finally delivers the goods for schwarzenegger fans,1,dev,lime,dev_174,lime
803,it takes talent to make a lifeless movie about the most heinous man who ever lived,3,dev,deeplift,dev_803,deeplift
855,or emptying rat traps,4,dev,gradients,dev_855,gradients
357,thanks to haynes absolute control of the film s mood and buoyed by three terrific performances far from heaven actually pulls off this stylistic juggling act,2,dev,ig,dev_357,ig
29,woody allen s latest is an ambling broad comedy about all there is to love and hate about the movie biz,1,dev,lime,dev_29,lime
620,a string of rehashed sight gags based in insipid vulgarity,4,dev,gradients,dev_620,gradients
470,no way i can believe this load of junk,0,dev,attention,dev_470,attention
722,the film s tone and pacing are off almost from the get go,2,dev,ig,dev_722,ig
863,but it could have been worse,2,dev,ig,dev_863,ig
145,it s the chemistry between the women and the droll scene stealing wit and wolfish pessimism of anna chancellor that makes this two weddings and a funeral fun,0,dev,attention,dev_145,attention
