,Unnamed: 0,text,label,exp_split,label_id,annotation_id,feat
1640,1640,consider the title s clunk on the head that suggests the overtime someone put in to come up with an irritatingly unimaginative retread concept,4,train,attention,test_1640,attention
111,111,it s a great deal of sizzle and very little steak,0,train,ig,test_111,gradients
621,621,there are slow and repetitive parts but it has just enough spice to keep it interesting,3,train,lime,test_621,deeplift
349,349,this is how you use special effects,3,train,lime,test_349,ig
1788,1788,watching the film is like reading a times portrait of grief that keeps shifting focus to the journalist who wrote it,0,train,ig,test_1788,lime
454,454,greengrass has delivered an undoubted stylistic tour de force and has managed elements such as sound and cinematography with skill,4,train,attention,test_454,gradients
1366,1366,but as a movie it s a humorless disjointed mess,4,train,attention,test_1366,ig
305,305,is n t it great,0,train,ig,test_305,deeplift
1325,1325,sunshine state lacks the kind of dynamic that limbo offers and in some ways is a rather indulgent piece,3,train,lime,test_1325,ig
406,406,this cuddly sequel to the 1999 hit is a little more visually polished a little funnier and a little more madcap,4,train,attention,test_406,lime
1608,1608,it feels like a community theater production of a great broadway play even at its best it will never hold a candle to the original,0,train,ig,test_1608,deeplift
69,69,in the process they demonstrate that there s still a lot of life in hong kong cinema,0,train,ig,test_69,gradients
529,529,director rob marshall went out gunning to make a great one,0,train,ig,test_529,lime
201,201,denis and co writer michele petin s impeccable screenplay penetrates with a rawness that that is both unflinching and tantalizing,0,train,ig,test_201,ig
1468,1468,but hard to believe plot twists force the movie off track in its final half hour,1,train,gradients,test_1468,attention
1508,1508,the angst ridden affluent slacker characters are more grating than engaging,0,train,ig,test_1508,gradients
1254,1254,we never really feel involved with the story as all of its ideas remain just that abstract ideas,4,train,attention,test_1254,attention
1441,1441,the overall feel of the film is pretty cheesy but there s still a real sense that the star trek tradition has been honored as best it can given the embarrassing script and weak direction,0,train,ig,test_1441,lime
331,331,the stunning dreamlike visuals will impress even those viewers who have little patience for euro film pretension,0,train,ig,test_331,gradients
1304,1304,watching this film nearly provoked me to take my own life,3,train,lime,test_1304,gradients
60,60,gollum s performance is incredible,0,train,ig,test_60,lime
1143,1143,new best friend should n t have gone straight to video it should have gone straight to a mystery science theater 3000 video,0,train,ig,test_1143,attention
524,524,branagh in his most forceful non shakespeare screen performance grounds even the softest moments in the angry revolt of his wit,0,train,ig,test_524,attention
1031,1031,obvious politics and rudimentary animation reduce the chances that the appeal of hey arnold,1,train,gradients,test_1031,attention
488,488,a journey through memory a celebration of living and a sobering rumination on fatality classism and ignorance,0,train,ig,test_488,lime
864,864,unlike the nauseating fictions peddled by such have yourself a happy little holocaust movies as life is beautiful and jakob the liar the grey zone is honest enough to deny the possibility of hope in auschwitz,1,train,gradients,test_864,lime
1347,1347,it virtually defines a comedy that s strongly mediocre with funny bits surfacing every once in a while,4,train,attention,test_1347,deeplift
957,957,soul is what s lacking in every character in this movie and subsequently the movie itself,3,train,lime,test_957,ig
234,234,it s solid and affecting and exactly as thought provoking as it should be,4,train,attention,test_234,lime
471,471,as a revenge thriller the movie is serviceable but it does n t really deliver the delicious guilty pleasure of the better film versions,0,train,ig,test_471,ig
313,313,if no one singles out any of these performances as award worthy it s only because we would expect nothing less from this bunch,2,train,others,test_313,lime
1231,1231,the makers of divine secrets of the ya ya sisterhood should offer a free ticket second prize of course two free tickets to anyone who can locate a genuinely honest moment in their movie,2,train,others,test_1231,attention
1491,1491,truth to tell if you ve seen more than half a dozen horror films there s nothing here you have n t seen before,1,train,gradients,test_1491,lime
1726,1726,this is the type of movie best enjoyed by frat boys and college kids while sucking on the bong and downing one alcoholic beverage after another,0,train,ig,test_1726,lime
327,327,longley has constructed a remarkably coherent horrifically vivid snapshot of those turbulent days,4,train,attention,test_327,deeplift
564,564,good movie,0,train,ig,test_564,ig
1443,1443,i did n t believe for a moment in these villains or their plot,1,train,gradients,test_1443,gradients
737,737,a sweet natured reconsideration of one of san francisco s most vital if least widely recognized creative fountainheads,4,train,attention,test_737,lime
479,479,having never been a huge fan of dickens 800 page novel it surprised me how much pleasure i had watching mcgrath s version,4,train,attention,test_479,attention
1770,1770,the premise is overshadowed by the uberviolence of the clericks as this becomes just another kung fu sci fi movie with silly action sequences,4,train,attention,test_1770,attention
728,728,some movies are like a tasty hors d oeuvre this one is a feast,3,train,lime,test_728,gradients
1790,1790,succeeds in providing a disquiet world the long dreaded completion of the police academy series,4,train,attention,test_1790,ig
132,132,it s an old story but a lively script sharp acting and partially animated interludes make just a kiss seem minty fresh,1,train,gradients,test_132,lime
550,550,the film s 45 minute running time stops shy of overkill though viewers may be more exhausted than the athletes onscreen,0,train,ig,test_550,attention
825,825,it is far from the worst thanks to the topical issues it raises the performances of stewart and hardy and that essential feature a decent full on space battle,3,train,lime,test_825,ig
917,917,the ring just left me cold and wet like i was out in the seattle drizzle without rainwear,4,train,attention,test_917,attention
806,806,francophiles will snicker knowingly and you ll want to slap them,0,train,ig,test_806,ig
298,298,farrell thankfully manages to outshine the role and successfully plays the foil to willis s world weary colonel,3,train,lime,test_298,lime
1321,1321,this goofy gangster yarn never really elevates itself from being yet another earnestly generic crime busting comic vehicle a well intentioned remake that shows some spunk and promise but fails to register as anything distinctive or daring,0,train,ig,test_1321,deeplift
545,545,still i m not quite sure what the point is,4,train,attention,test_545,ig
955,955,shot perhaps artistically with handheld cameras and apparently no movie lights by joaquin baca asay the low budget production swings annoyingly between vertigo and opacity,4,train,attention,test_955,attention
1682,1682,a bigger holiday downer than your end of year 401 k statement,3,train,lime,test_1682,gradients
696,696,you might not want to hang out with samantha but you ll probably see a bit of yourself in her unfinished story,2,train,others,test_696,lime
1109,1109,nothing debases a concept comedy quite like the grinding of bad ideas and showtime is crammed full of them,3,train,lime,test_1109,ig
347,347,kinnear gives a tremendous performance,3,train,lime,test_347,ig
1299,1299,collateral damage is despite its alleged provocation post 9 11 an antique in the end,2,train,others,test_1299,gradients
1334,1334,a real clunker,0,train,ig,test_1334,gradients
1696,1696,an eccentric little comic thriller deeply in love with its own quirky personality,3,train,lime,test_1696,attention
1529,1529,for all its alleged youthful fire xxx is no less subservient to bond s tired formula of guns girls and gadgets while brandishing a new action hero,0,train,ig,test_1529,gradients
1380,1380,flaccid drama and exasperatingly slow journey,3,train,lime,test_1380,ig
1531,1531,if i spy were funny enough or exciting enough then it would be fairly simple to forgive the financial extortion it s trying to reap from the moviegoing public,2,train,others,test_1531,gradients
224,224,the director steven shainberg has succeeded by focusing intently on his characters making them quirky individuals rather than figures of fun,1,train,gradients,test_224,lime
643,643,the hours makes you examine your own life in much the same way its characters do and the experience is profound,4,train,attention,test_643,gradients
709,709,harsh effective documentary on life in the israeli occupied palestinian territories,4,train,attention,test_709,attention
665,665,it s predictable but it jumps through the expected hoops with style and even some depth,3,train,lime,test_665,lime
1636,1636,nothing about it fits,3,train,lime,test_1636,ig
1810,1810,bad company leaves a bad taste not only because of its bad luck timing but also the staleness of its script,0,train,ig,test_1810,attention
1633,1633,as an actor the rock is aptly named,1,train,gradients,test_1633,attention
708,708,westfeldt and juergensen exude a chemistry and comfort level that s both saucy and endearing,4,train,attention,test_708,gradients
1035,1035,ostensibly celebrates middle aged girl power even as it presents friendship between women as pathetic dysfunctional and destructive,1,train,gradients,test_1035,ig
1444,1444,another rent installment for the ian fleming estate,2,train,others,test_1444,gradients
1124,1124,where last time jokes flowed out of cho s life story which provided an engrossing dramatic through line here the comedian hides behind obviously constructed routines,3,train,lime,test_1124,lime
1795,1795,pryor lite with half the demons half the daring much less talent many fewer laughs,0,train,ig,test_1795,gradients
1808,1808,"a film so tedious that it is impossible to care whether that boast is true or
not",4,train,attention,test_1808,attention
904,904,everything you loved about it in 1982 is still there for everybody who wants to be a kid again or show it to their own kids,3,train,lime,test_904,lime
1048,1048,there are a few laughs and clever sight gags scattered about but not enough to make this anything more than another big budget bust,4,train,attention,test_1048,ig
1541,1541,jolie s performance vanishes somewhere between her hair and her lips,4,train,attention,test_1541,attention
1677,1677,no it s not nearly as good as any of its influences,3,train,lime,test_1677,attention
232,232,an incendiary deeply thought provoking look at one of the most peculiar and peculiarly venomous bigotries in our increasingly frightening theocracy,4,train,attention,test_232,lime
1177,1177,oedekerk wrote patch adams for which he should not be forgiven,3,train,lime,test_1177,ig
776,776,despite what anyone believes about the goal of its makers the show represents a spectacular piece of theater and there s no denying the talent of the creative forces behind it,3,train,lime,test_776,ig
500,500,while not as aggressively impressive as its american counterpart in the bedroom moretti s film makes its own quieter observations,3,train,lime,test_500,gradients
909,909,u s audiences may find attal and gainsbourg s unfamiliar personas give the film an intimate and quaint reality that is a little closer to human nature than what hollywood typically concocts,3,train,lime,test_909,ig
1662,1662,what will most likely turn out to be the most repellent movie of 2002,0,train,ig,test_1662,attention
1009,1009,a silly self indulgent film about a silly self indulgent filmmaker,3,train,lime,test_1009,ig
1533,1533,places a slightly believable love triangle in a difficult to swallow setting and then disappointingly moves the story into the realm of an improbable thriller,4,train,attention,test_1533,ig
1809,1809,none of this violates the letter of behan s book but missing is its spirit its ribald full throated humor,4,train,attention,test_1809,ig
742,742,a charming quirky and leisurely paced scottish comedy except with an outrageous central gimmick that could have been a reject from monty python s meaning of life,3,train,lime,test_742,ig
1437,1437,cho s fans are sure to be entertained it s only fair in the interest of full disclosure to say that on the basis of this film alone i m not one of them,2,train,others,test_1437,lime
361,361,starts off with a bang but then fizzles like a wet stick of dynamite at the very end,4,train,attention,test_361,scaled attention
1684,1684,fairly successful at faking some pretty cool stunts but a complete failure at trying to create some pretty cool characters,1,train,gradients,test_1684,ig
1390,1390,the best you can say about it is it s so uninspired it barely gives one pause when considering some of the other dreck out there right now,4,train,attention,test_1390,ig
351,351,kaufman creates an eerie sense of not only being there at the time of these events but the very night matthew was killed,1,train,gradients,test_351,lime
1303,1303,a great idea becomes a not great movie,3,train,lime,test_1303,ig
810,810,throwing caution to the wind with an invitation to the hedonist in us all nair has constructed this motion picture in such a way that even the most cynical curmudgeon with find himself or herself smiling at one time or another,0,train,ig,test_810,attention
1481,1481,mckay deflates his piece of puffery with a sour cliche and heavy doses of mean spiritedness,4,train,attention,test_1481,deeplift
323,323,something the true film buff will enjoy,1,train,gradients,test_323,attention
1668,1668,it s all very cute though not terribly funny if you re more than six years old,4,train,attention,test_1668,lime
730,730,davis has filled out his cast with appealing fresh faces,0,train,ig,test_730,ig
1219,1219,a long winded and stagy session of romantic contrivances that never really gels like the shrewd feminist fairy tale it could have been,2,train,others,test_1219,attention
820,820,much monkeyfun for all,1,train,gradients,test_820,deeplift
542,542,he simply presents his point of view that ayurveda works,4,train,attention,test_542,gradients
1041,1041,a cumbersome and cliche ridden movie greased with every emotional device known to man,4,train,attention,test_1041,deeplift
525,525,though the violence is far less sadistic than usual the film is typical miike fast furious and full of off the cuff imaginative flourishes,4,train,attention,test_525,attention
1719,1719,showtime is one of the hapless victims of the arrogant if we put together a wry white man and a chatty black man and give them guns the movie will be funny syndrome,0,train,ig,test_1719,gradients
1107,1107,not every animated film from disney will become a classic but forgive me if i ve come to expect more from this studio than some 79 minute after school cartoon,4,train,attention,test_1107,gradients
458,458,a weak manipulative pencil thin story that is miraculously able to entertain anyway,1,train,gradients,test_458,deeplift
477,477,an uneven but intriguing drama that is part homage and part remake of the italian masterpiece,3,train,lime,test_477,lime
650,650,it s a brave attempt to tap into the heartbeat of the world a salute to the universal language of rhythm and a zippy sampling of sounds,1,train,gradients,test_650,gradients
1163,1163,although based on a real life person john in the movie is a rather dull person to be stuck with for two hours,0,train,ig,test_1163,deeplift
1084,1084,a strong first quarter slightly less so second quarter and average second half,4,train,attention,test_1084,lime
13,13,the movie s ripe enrapturing beauty will tempt those willing to probe its inscrutable mysteries,0,train,ig,test_13,ig
1502,1502,a very stylish but ultimately extremely silly tale a slick piece of nonsense but nothing more,0,train,ig,test_1502,ig
1074,1074,the movie feels like it s going to be great and it carries on feeling that way for a long time but takeoff just never happens,0,train,ig,test_1074,gradients
1692,1692,barely goes beyond comic book status,4,train,attention,test_1692,ig
368,368,still pretentious and filled with subtext but entertaining enough at face value to recommend to anyone looking for something different,4,train,attention,test_368,ig
935,935,this one s weaker than most,1,train,gradients,test_935,ig
341,341,a very witty take on change risk and romance and the film uses humour to make its points about acceptance and growth,0,train,ig,test_341,attention
1363,1363,the more kevin costner rests on his pretty boy laurels the public is regrettably going to have tepid films like dragonfly tossed at them,0,train,ig,test_1363,ig
706,706,grant gets to display his cadness to perfection but also to show acting range that may surprise some who thought light hearted comedy was his forte,0,train,ig,test_706,deeplift
660,660,though the film s scenario is certainly not earthshaking this depiction of fluctuating female sexuality has two winning lead performances and charm to spare,1,train,gradients,test_660,lime
691,691,that rara avis the intelligent romantic comedy with actual ideas on its mind,1,train,gradients,test_691,attention
279,279,clever brutal and strangely soulful movie,2,train,others,test_279,attention
602,602,it is risky intelligent romantic and rapturous from start to finish,4,train,attention,test_602,lime
1340,1340,as written by michael berg and michael j wilson from a story by wilson this relentless all wise guys all the time approach tries way too hard and gets tiring in no time at all,0,train,ig,test_1340,ig
317,317,it s a movie and an album you wo n t want to miss,4,train,attention,test_317,lime
1561,1561,liman of swingers and go makes his big budget action film debut something of a clunker as he delivers a long low heat chase interrupted by a middling car chase,0,train,ig,test_1561,ig
1275,1275,it s also stupider,3,train,lime,test_1275,ig
915,915,it should be mentioned that the set design and interiors of the haunted vessel are more than effectively creepy and moodily lit,0,train,ig,test_915,attention
400,400,her film is unrelentingly claustrophobic and unpleasant,1,train,gradients,test_400,attention
335,335,the people in dogtown and z boys are so funny aggressive and alive you have to watch them because you ca n t wait to see what they do next,1,train,gradients,test_335,lime
168,168,this insightful oscar nominated documentary in which children on both sides of the ever escalating conflict have their say away from watchful parental eyes gives peace yet another chance,3,train,lime,test_168,attention
594,594,an intelligent earnest intimate film that drops the ball only when it pauses for blunt exposition to make sure you re getting its metaphysical point,0,train,ig,test_594,ig
1130,1130,wasabi is slight fare indeed with the entire project having the feel of something tossed off quickly like one of hubert s punches but it should go down smoothly enough with popcorn,3,train,lime,test_1130,lime
481,481,for all its failed connections divine secrets of the ya ya sisterhood is nurturing in a gauzy dithering way,4,train,attention,test_481,lime
505,505,an exciting and involving rock music doc a smart and satisfying look inside that tumultuous world,1,train,gradients,test_505,attention
1065,1065,the sum of all fears is almost impossible to follow and there s something cringe inducing about seeing an american football stadium nuked as pop entertainment,4,train,attention,test_1065,deeplift
178,178,it is interesting and fun to see goodall and her chimpanzees on the bigger than life screen,0,train,ig,test_178,lime
1757,1757,all the necessary exposition prevents the picture from rising above your generic sand n sandal adventure,4,train,attention,test_1757,ig
1449,1449,sadly hewitt s forte is leaning forward while wearing low cut gowns not making snappy comebacks,1,train,gradients,test_1449,ig
1021,1021,for benigni it was n t shakespeare whom he wanted to define his career with but pinocchio,4,train,attention,test_1021,attention
365,365,a polished and relatively sincere piece of escapism,4,train,attention,test_365,ig
775,775,huppert gives erika a persona that is so intriguing that you find yourself staring hypnotically at her trying to understand her and wondering if she ll crack,3,train,lime,test_775,scaled attention
1407,1407,the humor is hinged on the belief that knees in the crotch elbows in the face and spit in the eye are inherently funny,4,train,attention,test_1407,gradients
949,949,if you think that jennifer lopez has shown poor judgment in planning to marry ben affleck wait till you see maid in manhattan,3,train,lime,test_949,ig
319,319,while not all transitions to adulthood are so fraught there s much truth and no small amount of poetry in girls ca n t swim,0,train,ig,test_319,lime
1559,1559,bad beyond belief and ridiculous beyond description,4,train,attention,test_1559,deeplift
1156,1156,offensive in the way it exploits the hot button issue of domestic abuse for cheap thrills and disgusting in the manner it repeatedly puts a small child in jeopardy treating her as little more than a prop to be cruelly tormented,4,train,attention,test_1156,ig
902,902,majidi gets uniformly engaging performances from his largely amateur cast,0,train,ig,test_902,attention
1337,1337,good for a few unintentional laughs extreme ops was obviously made for the xxx crowd people who enjoy mindless action without the benefit of decent acting writing and direction,4,train,attention,test_1337,deeplift
1527,1527,earnest but earthbound a slow soggy soporific visually dank crime melodrama character study that would be more at home on the small screen but for its stellar cast,2,train,others,test_1527,ig
1208,1208,so clichéd that at one point they literally upset an apple cart,4,train,attention,test_1208,gradients
355,355,an enchanting spectacular for potter fans anxious to ride the hogwarts express toward a new year of magic and mischief,4,train,attention,test_355,attention
715,715,there is n t a weak or careless performance amongst them,4,train,attention,test_715,ig
1047,1047,plays less like a coming of age romance than an infomercial,1,train,gradients,test_1047,deeplift
284,284,those who would follow haneke on his creepy explorations are rewarded by brutal committed performances from huppert and magimel,0,train,ig,test_284,lime
606,606,aside from being the funniest movie of the year simone andrew niccol s brilliant anti hollywood satire has a wickedly eccentric enchantment to it,0,train,ig,test_606,attention
1383,1383,the screenplay sabotages the movie s strengths at almost every juncture,4,train,attention,test_1383,ig
266,266,nearly surreal dabbling in french this is no simple movie and you ll be taking a risk if you choose to see it,0,train,ig,test_266,gradients
1690,1690,despite a blue chip cast and a provocative title writer director peter mattei s first feature microwaves dull leftover romantic motifs basted in faux contemporary gravy,3,train,lime,test_1690,ig
679,679,works because for the most part it avoids the stupid cliches and formulaic potholes that befall its brethren,3,train,lime,test_679,lime
520,520,a budget affair that exposes the generally sad existence of the bedouins while providing a precious twinkle of insight into their lives,1,train,gradients,test_520,ig
1274,1274,john mctiernan s botched remake may be subtler than norman jewison s 1975 ultraviolent futuristic corporate sports saga,0,train,ig,test_1274,ig
610,610,reinforces the often forgotten fact of the world s remarkably varying human population and mindset and its capacity to heal using creative natural and ancient antidotes,1,train,gradients,test_610,lime
392,392,an impressive if flawed effort that indicates real talent,0,train,ig,test_392,ig
1123,1123,there is not a character in the movie with a shred of plausibility not an event that is believable not a confrontation that is not staged not a moment that is not false,3,train,lime,test_1123,attention
1494,1494,filmmakers have to dig deep to sink this low,4,train,attention,test_1494,ig
782,782,it is ridiculous of course but it is also refreshing disarming and just outright enjoyable despite its ridiculousness,1,train,gradients,test_782,lime
1660,1660,"extreme oops
oops ops no matter how you spell it it s still a mistake to go see it",0,train,ig,test_1660,deeplift
1573,1573,all ends well sort of but the frenzied comic moments never click,4,train,attention,test_1573,attention
1523,1523,this film looks like it was produced in 1954 shelved for 48 years and repackaged for a 2002 audience,2,train,others,test_1523,deeplift
1330,1330,too clunky and too busy ribbing itself to be truly entertaining,1,train,gradients,test_1330,ig
1451,1451,this film is so slick superficial and trend hoppy that it s easy to imagine that a new software program spit out the screenplay,4,train,attention,test_1451,attention
657,657,a marvellous journey from childhood idealism to adolescent self absorption,0,train,ig,test_657,ig
198,198,day is not a great bond movie but it is a good bond movie which still makes it much better than your typical bond knock offs,0,train,ig,test_198,attention
1117,1117,i kept thinking over and over again i should be enjoying this,3,train,lime,test_1117,lime
1584,1584,what was subtle and mystifying in the novella is now broad and farcical,4,train,attention,test_1584,ig
637,637,thurman and lewis are hilarious throughout,4,train,attention,test_637,gradients
135,135,everything that has to do with yvan and charlotte and everything that has to do with yvan s rambunctious jewish sister and her non jew husband feels funny and true,0,train,ig,test_135,lime
197,197,this is one of polanski s best films,0,train,ig,test_197,lime
646,646,pretty darn good despite its smarty pants aura,4,train,attention,test_646,lime
1710,1710,unfortunately as a writer mr montias is n t nearly as good to his crew as he is as a director or actor,0,train,ig,test_1710,gradients
193,193,an absorbing slice of depression life that touches nerves and rings true,0,train,ig,test_193,attention
992,992,the film is a travesty of the genre and even as spoof takes itself too seriously,4,train,attention,test_992,ig
1482,1482,a recipe for cinematic disaster part quentin tarantino part guy ritchie and part 1960s spy spoof it s all bad,4,train,attention,test_1482,attention
1551,1551,as elegantly crafted as it often is anderson s movie is essentially a one trick pony that hampered by an undeveloped script ultimately pulls up lame,0,train,ig,test_1551,attention
1435,1435,quick who wants to see a comedy about shoddy airport security,0,train,ig,test_1435,ig
541,541,director nalin pan does n t do much to weigh any arguments one way or the other,3,train,lime,test_541,attention
287,287,but it pays a price for its intricate intellectual gamesmanship,2,train,others,test_287,gradients
537,537,as blunt as it is in depicting child abuse el bola is a movie steeped in an ambiguity that lends its conflicts a symbolic resonance,4,train,attention,test_537,gradients
734,734,a worthy entry into a very difficult genre,4,train,attention,test_734,lime
756,756,rain is a small treasure enveloping the viewer in a literal and spiritual torpor that is anything but cathartic,0,train,ig,test_756,ig
1623,1623,uneasy mishmash of styles and genres,4,train,attention,test_1623,ig
1812,1812,a film made with as little wit interest and professionalism as artistically possible for a slummy hollywood caper flick,2,train,others,test_1812,ig
1507,1507,you ve seen them a million times,3,train,lime,test_1507,lime
1116,1116,a dreary incoherent self indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours a cacophony of pretentious meaningless prattle,2,train,others,test_1116,attention
18,18,scores a few points for doing what it does with a dedicated and good hearted professionalism,1,train,gradients,test_18,attention
645,645,a bold and subversive film that cuts across the grain of what is popular and powerful in this high tech age speaking its truths with spellbinding imagery and the entrancing music of philip glass,4,train,attention,test_645,attention
1000,1000,most new movies have a bright sheen,0,train,ig,test_1000,gradients
1356,1356,unless you are in dire need of a diesel fix there is no real reason to see it,2,train,others,test_1356,gradients
961,961,the voices are fine as well,3,train,lime,test_961,attention
843,843,the second chapter of the harry potter series is even more magical than the first and simply the best family film of the year,1,train,gradients,test_843,attention
1776,1776,writer director john mckay ignites some charming chemistry between kate and jed but when he veers into sodden melodrama punctuated by violins it s disastrous and kate s jealous female friends become downright despicable,3,train,lime,test_1776,ig
445,445,a depressing confirmation of everything those of us who do n t object to the description unelected have suspected all along george w bush is an incurious uncharismatic overgrown frat boy with a mean streak a mile wide,2,train,others,test_445,attention
1409,1409,its characters are thinner than cardboard or even comic book paper,3,train,lime,test_1409,gradients
1535,1535,undone by its overly complicated and derivative screenplay the glacier paced direction and the stereotypical characters,1,train,gradients,test_1535,attention
675,675,as hugh grant says repeatedly throughout the movie lovely,3,train,lime,test_675,ig
759,759,droll caper comedy remake of big deal on madonna street that s a sly amusing laugh filled little gem in which the ultimate bellini begins to look like a real kaputschnik,3,train,lime,test_759,lime
1011,1011,the character is too forced and overwritten to be funny or believable much of the time and clayburgh does n t always improve the over the top mix,4,train,attention,test_1011,attention
439,439,this version s no classic like its predecessor but its pleasures are still plentiful,2,train,others,test_439,ig
1091,1091,watching it is rather like viewing a long soap opera in which only the first episode was any good,0,train,ig,test_1091,gradients
724,724,it s neither as romantic nor as thrilling as it should be,3,train,lime,test_724,gradients
1485,1485,outrageousness is all plympton seemed to be going for this time,3,train,lime,test_1485,ig
1271,1271,it does n t help that the director and cinematographer stephen kazmierski shoot on grungy video giving the whole thing a dirty tasteless feel,0,train,ig,test_1271,deeplift
792,792,this is art paying homage to art,4,train,attention,test_792,lime
1658,1658,george hire a real director and good writers for the next installment please,1,train,gradients,test_1658,ig
4,4,steers turns in a snappy screenplay that curls at the edges it s so clever you want to hate it,0,train,ig,test_4,gradients
478,478,windtalkers celebrates the human spirit and packs an emotional wallop,4,train,attention,test_478,lime
1493,1493,even die hard fans of japanese animation will find this one a challenge,3,train,lime,test_1493,deeplift
786,786,the film starts out as competent but unremarkable and gradually grows into something of considerable power,4,train,attention,test_786,lime
826,826,a film that is a portrait of grace in an imperfect world,3,train,lime,test_826,ig
903,903,fans of nijinsky will savor every minute of cox s work,1,train,gradients,test_903,gradients
1592,1592,a free for all of half baked thoughts clumsily used visual tricks and self indulgent actor moments,2,train,others,test_1592,gradients
1290,1290,nothing more than a mediocre trifle,4,train,attention,test_1290,deeplift
858,858,the film is painfully authentic and the performances of the young players are utterly convincing,4,train,attention,test_858,gradients
1176,1176,spousal abuse is a major problem in contemporary society but the film reduces this domestic tragedy to florid melodrama,3,train,lime,test_1176,attention
1181,1181,it tries too hard and overreaches the logic of its own world,3,train,lime,test_1181,ig
870,870,but if it is indeed a duty of art to reflect life than leigh has created a masterful piece of artistry right here,2,train,others,test_870,lime
1412,1412,credit must be given to harland williams michael rosenbaum and barry watson who inject far more good natured spirit and talent into this project than it deserves,3,train,lime,test_1412,lime
1730,1730,i kept wishing i was watching a documentary about the wartime navajos and what they accomplished instead of all this specious hollywood hoo ha,4,train,attention,test_1730,ig
752,752,a resonant tale of racism revenge and retribution,3,train,lime,test_752,deeplift
416,416,"not a cozy or ingratiating work
but it s challenging sometimes clever and always interesting and those are reasons enough to see it",4,train,attention,test_416,ig
309,309,a tender and touching drama based on the true story of a troubled african american s quest to come to terms with his origins reveals the yearning we all have in our hearts for acceptance within the family circle,0,train,ig,test_309,attention
486,486,this romantic thriller is steeped in the atmosphere of wartime england and ably captures the speech patterns moral codes and ideals of the 1940s,3,train,lime,test_486,gradients
1357,1357,wait for video and then do n t rent it,4,train,attention,test_1357,gradients
353,353,it represents better than average movie making that does n t demand a dumb distracted audience,0,train,ig,test_353,lime
